"PERIODE";"IAS_lissé"
2008-01-01;7066
2008-01-02;7050
2008-01-03;7051
2008-01-04;7067
2008-01-05;7093
2008-01-06;7118
2008-01-07;7137
2008-01-08;7162
2008-01-09;7199
2008-01-10;7252
2008-01-11;7321
2008-01-12;7402
2008-01-13;7488
2008-01-14;7575
2008-01-15;7666
2008-01-16;7764
2008-01-17;7868
2008-01-18;7969
2008-01-19;8064
2008-01-20;8144
2008-01-21;8205
2008-01-22;8251
2008-01-23;8289
2008-01-24;8323
2008-01-25;8351
2008-01-26;8368
2008-01-28;8358
2008-01-29;8341
2008-01-30;8326
2008-01-31;8315
2008-02-01;8309
2008-02-02;8311
2008-02-03;8316
2008-02-04;8318
2008-02-05;8330
2008-02-06;8358
2008-02-07;8404
2008-02-08;8465
2008-02-09;8531
2008-02-11;8642
2008-02-12;8685
2008-02-13;8730
2008-02-14;8783
2008-02-15;8855
2008-02-16;8937
2008-02-17;9021
2008-02-18;9103
2008-02-19;9192
2008-02-20;9296
2008-02-21;9418
2008-02-22;9568
2008-02-23;9746
2008-02-24;9944
2008-02-25;10160
2008-02-26;10401
2008-02-27;10673
2008-02-28;10975
2008-02-29;11306
2008-03-01;11663
2008-03-02;12039
2008-03-03;12433
2008-03-04;12854
2008-03-05;13311
2008-03-06;13802
2008-03-07;14326
2008-03-08;14880
2008-03-09;15452
2008-03-10;16038
2008-03-11;16643
2008-03-12;17271
2008-03-13;17913
2008-03-14;18561
2008-03-15;19211
2008-03-17;20472
2008-03-18;21084
2008-03-19;21689
2008-03-20;22276
2008-03-21;22839
2008-03-22;23378
2008-03-23;23881
2008-03-25;24755
2008-03-26;25143
2008-03-27;25500
2008-03-28;25825
2008-03-29;26120
2008-03-31;26593
2008-04-01;26767
2008-04-02;26903
2008-04-03;27000
2008-04-04;27057
2008-04-05;27070
2008-04-07;26947
2008-04-08;26823
2008-04-09;26668
2008-04-10;26485
2008-04-11;26277
2008-04-12;26043
2008-04-14;25474
2008-04-15;25149
2008-04-16;24810
2008-04-17;24456
2008-04-18;24089
2008-04-19;23708
2008-04-21;22866
2008-04-22;22411
2008-04-23;21948
2008-04-24;21482
2008-04-25;21018
2008-04-26;20557
2008-04-27;20096
2008-04-28;19636
2008-04-29;19188
2008-04-30;18763
2008-05-01;18360
2008-05-02;17976
2008-05-03;17605
2008-05-04;17239
2008-05-05;16878
2008-05-06;16531
2008-05-07;16200
2008-05-08;15889
2008-05-09;15601
2008-05-10;15337
2008-05-11;15088
2008-05-12;14848
2008-05-13;14628
2008-05-14;14438
2008-05-15;14283
2008-05-16;14162
2008-05-17;14071
2008-05-18;13999
2008-05-19;13942
2008-05-20;13907
2008-05-21;13898
2008-05-22;13916
2008-05-23;13963
2008-05-24;14040
2008-05-26;14241
2008-05-27;14357
2008-05-28;14486
2008-05-29;14632
2008-05-30;14794
2008-05-31;14973
2008-06-01;15162
2008-06-02;15360
2008-06-03;15570
2008-06-04;15795
2008-06-05;16033
2008-06-06;16287
2008-06-07;16552
2008-06-08;16817
2008-06-09;17077
2008-06-10;17333
2008-06-11;17588
2008-06-12;17842
2008-06-13;18090
2008-06-14;18328
2008-06-16;18751
2008-06-17;18943
2008-06-18;19133
2008-06-19;19322
2008-06-20;19506
2008-06-21;19682
2008-06-22;19853
2008-06-23;20015
2008-06-24;20176
2008-06-25;20343
2008-06-26;20510
2008-06-27;20665
2008-06-28;20805
2008-06-29;20927
2008-06-30;21030
2008-07-01;21127
2008-07-02;21232
2008-07-03;21347
2008-07-04;21470
2008-07-05;21596
2008-07-06;21716
2008-07-07;21826
2008-07-08;21933
2008-07-09;22046
2008-07-10;22162
2008-07-11;22278
2008-07-12;22395
2008-07-13;22501
2008-07-14;22593
2008-07-15;22677
2008-07-16;22755
2008-07-17;22831
2008-07-18;22908
2008-07-19;22983
2008-07-21;23084
2008-07-22;23114
2008-07-23;23140
2008-07-24;23162
2008-07-25;23179
2008-07-26;23190
2008-07-27;23184
2008-07-28;23153
2008-07-29;23105
2008-07-30;23051
2008-07-31;22988
2008-08-01;22914
2008-08-02;22828
2008-08-04;22605
2008-08-05;22470
2008-08-06;22323
2008-08-07;22162
2008-08-08;21987
2008-08-09;21795
2008-08-11;21339
2008-08-12;21082
2008-08-13;20821
2008-08-14;20568
2008-08-15;20328
2008-08-16;20098
2008-08-18;19647
2008-08-19;19440
2008-08-20;19255
2008-08-21;19092
2008-08-22;18947
2008-08-23;18813
2008-08-25;18562
2008-08-26;18457
2008-08-27;18377
2008-08-28;18316
2008-08-29;18272
2008-08-30;18238
2008-08-31;18205
2008-09-01;18172
2008-09-02;18147
2008-09-03;18144
2008-09-04;18167
2008-09-05;18217
2008-09-06;18290
2008-09-07;18373
2008-09-08;18458
2008-09-09;18547
2008-09-10;18640
2008-09-11;18738
2008-09-12;18847
2008-09-13;18962
2008-09-14;19070
2008-09-15;19170
2008-09-16;19276
2008-09-17;19396
2008-09-18;19530
2008-09-19;19683
2008-09-20;19854
2008-09-22;20236
2008-09-23;20445
2008-09-24;20661
2008-09-25;20888
2008-09-26;21123
2008-09-27;21359
2008-09-28;21585
2008-09-29;21800
2008-09-30;22011
2008-10-01;22226
2008-10-02;22444
2008-10-03;22662
2008-10-04;22873
2008-10-06;23265
2008-10-07;23456
2008-10-08;23650
2008-10-09;23844
2008-10-10;24035
2008-10-11;24223
2008-10-13;24553
2008-10-14;24697
2008-10-15;24828
2008-10-16;24943
2008-10-17;25042
2008-10-18;25119
2008-10-20;25173
2008-10-21;25154
2008-10-22;25120
2008-10-23;25070
2008-10-24;25006
2008-10-25;24924
2008-10-26;24816
2008-10-27;24683
2008-10-28;24539
2008-10-29;24396
2008-10-30;24255
2008-10-31;24119
2008-11-01;23994
2008-11-02;23870
2008-11-03;23742
2008-11-04;23623
2008-11-05;23521
2008-11-06;23430
2008-11-07;23342
2008-11-08;23256
2008-11-10;23062
2008-11-11;22960
2008-11-12;22860
2008-11-13;22764
2008-11-14;22669
2008-11-15;22575
2008-11-16;22481
2008-11-17;22387
2008-11-18;22305
2008-11-19;22249
2008-11-20;22223
2008-11-21;22229
2008-11-22;22259
2008-11-23;22304
2008-11-24;22366
2008-11-25;22453
2008-11-26;22568
2008-11-27;22711
2008-11-28;22883
2008-11-29;23080
2008-11-30;23290
2008-12-01;23507
2008-12-02;23733
2008-12-03;23969
2008-12-04;24212
2008-12-05;24463
2008-12-06;24720
2008-12-07;24975
2008-12-08;25224
2008-12-09;25473
2008-12-10;25722
2008-12-11;25970
2008-12-12;26216
2008-12-13;26458
2008-12-14;26685
2008-12-15;26888
2008-12-16;27078
2008-12-17;27266
2008-12-18;27454
2008-12-19;27648
2008-12-20;27844
2008-12-21;28030
2008-12-22;28203
2008-12-23;28377
2008-12-24;28557
2008-12-25;28742
2008-12-26;28934
2008-12-27;29130
2008-12-28;29317
2008-12-29;29487
2008-12-30;29645
2008-12-31;29791
2009-01-02;30067
2009-01-03;30194
2009-01-05;30403
2009-01-06;30499
2009-01-07;30601
2009-01-08;30704
2009-01-09;30804
2009-01-10;30898
2009-01-12;31041
2009-01-13;31102
2009-01-14;31169
2009-01-15;31240
2009-01-16;31315
2009-01-17;31391
2009-01-18;31457
2009-01-19;31507
2009-01-20;31551
2009-01-21;31595
2009-01-22;31644
2009-01-23;31701
2009-01-24;31764
2009-01-25;31827
2009-01-26;31892
2009-01-27;31970
2009-01-28;32071
2009-01-29;32195
2009-01-30;32340
2009-01-31;32506
2009-02-01;32683
2009-02-02;32862
2009-02-03;33047
2009-02-04;33240
2009-02-05;33434
2009-02-06;33627
2009-02-07;33815
2009-02-08;33991
2009-02-09;34149
2009-02-10;34300
2009-02-11;34451
2009-02-12;34600
2009-02-13;34745
2009-02-14;34893
2009-02-15;35042
2009-02-16;35189
2009-02-17;35345
2009-02-18;35521
2009-02-19;35716
2009-02-20;35931
2009-02-21;36165
2009-02-23;36661
2009-02-24;36912
2009-02-25;37170
2009-02-26;37434
2009-02-27;37703
2009-02-28;37969
2009-03-01;38221
2009-03-02;38451
2009-03-03;38666
2009-03-04;38867
2009-03-05;39055
2009-03-06;39227
2009-03-07;39378
2009-03-08;39502
2009-03-09;39600
2009-03-10;39684
2009-03-11;39764
2009-03-12;39846
2009-03-13;39924
2009-03-14;39989
2009-03-16;40044
2009-03-17;40044
2009-03-18;40042
2009-03-19;40043
2009-03-20;40039
2009-03-21;40020
2009-03-22;39978
2009-03-23;39906
2009-03-24;39820
2009-03-25;39729
2009-03-26;39638
2009-03-27;39549
2009-03-28;39458
2009-03-30;39229
2009-03-31;39095
2009-04-01;38964
2009-04-02;38829
2009-04-03;38684
2009-04-04;38525
2009-04-05;38347
2009-04-06;38154
2009-04-07;37960
2009-04-08;37777
2009-04-09;37607
2009-04-10;37452
2009-04-11;37314
2009-04-12;37191
2009-04-13;37078
2009-04-14;36975
2009-04-15;36887
2009-04-16;36817
2009-04-17;36767
2009-04-18;36736
2009-04-19;36718
2009-04-20;36712
2009-04-21;36730
2009-04-22;36778
