"PERIODE";"NATIONAL"
2009-09-01;0
2009-09-02;0
2009-09-03;0
2009-09-04;0
2009-09-05;0
2009-09-06;0
2009-09-07;0
2009-09-08;0
2009-09-09;0
2009-09-10;0
2009-09-11;0
2009-09-12;0
2009-09-13;0
2009-09-14;0
2009-09-15;0
2009-09-16;0
2009-09-17;0
2009-09-18;0,01
2009-09-19;0,03
2009-09-20;0,04
2009-09-21;0,14
2009-09-22;0,33
2009-09-23;0,68
2009-09-24;1,48
2009-09-25;3,63
2009-09-26;5,84
2009-09-27;5,92
2009-09-28;9,87
2009-09-29;14,41
2009-09-30;17,87
2009-10-01;21,02
2009-10-02;23,97
2009-10-03;25,48
2009-10-04;25,59
2009-10-05;27,98
2009-10-06;30,69
2009-10-07;32,8
2009-10-08;34,74
2009-10-09;36,63
2009-10-10;37,6
2009-10-11;37,64
2009-10-12;39,33
2009-10-13;41,3
2009-10-14;42,81
2009-10-15;44,24
2009-10-16;45,6
2009-10-17;46,35
2009-10-18;46,39
2009-10-19;47,74
2009-10-20;49,3
2009-10-21;50,46
2009-10-22;51,56
2009-10-23;52,5
2009-10-24;52,95
2009-10-25;52,99
2009-10-26;53,77
2009-10-27;54,6
2009-10-28;55,24
2009-10-29;55,85
2009-10-30;56,41
2009-10-31;56,7
2009-11-01;56,76
2009-11-02;57,32
2009-11-03;57,95
2009-11-04;58,5
2009-11-05;59,05
2009-11-06;59,54
2009-11-07;59,79
2009-11-08;59,8
2009-11-09;60,24
2009-11-10;60,73
2009-11-11;60,75
2009-11-12;61,21
2009-11-13;61,56
2009-11-14;61,72
2009-11-15;61,73
2009-11-16;62,02
2009-11-17;62,34
2009-11-18;62,57
2009-11-19;62,79
2009-11-20;63,01
2009-11-21;63,11
2009-11-22;63,12
2009-11-23;63,3
2009-11-24;63,5
2009-11-25;63,67
2009-11-26;63,8
2009-11-27;63,95
2009-11-28;64,02
2009-11-29;64,02
2009-11-30;64,15
2009-12-01;64,28
2009-12-02;64,38
2009-12-03;64,48
2009-12-04;64,58
2009-12-05;64,62
2009-12-06;64,62
2009-12-07;64,7
2009-12-08;64,79
2009-12-09;64,87
2009-12-10;64,93
2009-12-11;65
2009-12-12;65,03
2009-12-13;65,04
2009-12-14;65,1
2009-12-15;65,15
2009-12-16;65,2
2009-12-17;65,24
2009-12-18;65,28
2009-12-19;65,3
2009-12-20;65,3
2009-12-21;65,33
2009-12-22;65,36
2009-12-23;65,38
2009-12-24;65,4
2009-12-25;65,41
2009-12-26;65,42
2009-12-27;65,42
2009-12-28;65,45
2009-12-29;65,48
2009-12-30;65,52
2009-12-31;65,55
2010-01-01;65,55
2010-01-02;65,56
2010-01-03;65,56
2010-01-04;65,57
2010-01-05;65,58
2010-01-06;65,59
2010-01-07;65,6
2010-01-08;65,61
2010-01-09;65,62
2010-01-10;65,62
2010-01-11;65,63
2010-01-12;65,64
2010-01-13;65,65
2010-01-14;65,65
2010-01-15;65,66
2010-01-16;65,67
2010-01-17;65,67
2010-01-18;65,67
2010-01-19;65,68
2010-01-20;65,68
2010-01-21;65,69
2010-01-22;65,7
2010-01-23;65,7
2010-01-24;65,7
2010-01-25;65,7
2010-01-26;65,71
2010-01-27;65,72
2010-01-28;65,73
2010-01-29;65,73
2010-01-30;65,73
2010-01-31;65,74
2010-02-01;65,74
2010-02-02;65,74
2010-02-03;65,74
2010-02-04;65,75
2010-02-05;65,75
2010-02-06;65,75
2010-02-07;65,75
2010-02-08;65,75
2010-02-09;65,76
2010-02-10;65,76
2010-02-11;65,76
2010-02-12;65,76
2010-02-13;65,76
2010-02-14;65,76
2010-02-15;65,77
2010-02-16;65,77
2010-02-17;65,77
2010-02-18;65,77
2010-02-19;65,77
2010-02-20;65,77
2010-02-21;65,77
2010-02-22;65,77
2010-02-23;65,78
2010-02-24;65,78
2010-02-25;65,78
2010-02-26;65,78
2010-02-27;65,78
2010-02-28;65,78
2010-03-01;65,78
2010-03-02;65,78
2010-03-03;65,78
2010-03-04;65,79
2010-03-05;65,79
2010-03-06;65,79
2010-03-07;65,79
2010-03-08;65,79
2010-03-09;65,79
2010-03-10;65,79
2010-03-11;65,79
2010-03-12;65,8
2010-03-13;65,8
2010-03-14;65,8
2010-03-15;65,8
2010-03-16;65,8
2010-03-17;65,8
2010-03-18;65,8
2010-03-19;65,8
2010-03-20;65,8
2010-03-21;65,8
2010-03-22;65,8
2010-03-23;65,8
2010-03-24;65,81
2010-03-25;65,81
