"PERIODE";"Senti";"Sais_2014_2015";"Sais_2013_2014";"Sais_2012_2013";"Sais_2011_2012";"Sais_2010_2011";"Sais_2009_2010";"Sais_2008_2009";"Loc_Reg11";"Loc_Reg21";"Loc_Reg22";"Loc_Reg23";"Loc_Reg24";"Loc_Reg25";"Loc_Reg26";"Loc_Reg31";"Loc_Reg41";"Loc_Reg42";"Loc_Reg43";"Loc_Reg52";"Loc_Reg53";"Loc_Reg54";"Loc_Reg72";"Loc_Reg73";"Loc_Reg74";"Loc_Reg82";"Loc_Reg83";"Loc_Reg91";"Loc_Reg93";"Loc_Reg94";"MIN_Saison";"MAX_Saison";"IN_Def";"IN_Temp"
"01-09-2015";NA;198;262;235;218;254;223;NA;205,27;191,43;201,44;204,855;212,3;180,9;204,11;203,635;198,48;206,07;206,925;195,455;174,845;193;178,08;187,6;198,01;207,15;206,4;197,14;177,96;134,95;198;262;198,4;NA
"02-09-2015";NA;194;257;233;217;249;222;NA;199,34;183,225;197,47;199,67;203,23;173,8;197,23;197,685;196,465;202,165;201,945;188,01;167,28;184,315;173,61;183,11;190,01;200,415;199,44;190,49;171,61;129,295;194;257;192,1;NA
"03-09-2015";NA;189;251;229;213;242;218;NA;192,94;175,505;192,52;193,48;192,61;166,465;189,58;190,53;191,905;198,18;195,375;180,725;159,815;175,3;168,13;177,3;181,03;192,505;190,65;183,125;165,64;121,655;189;251;184,9;NA
"04-09-2015";NA;184;242;224;207;233;213;NA;184,92;168,985;187,49;186,205;183,43;159,55;182,04;183,045;186,08;193,52;188,38;172,83;152,755;167,35;162,52;171,08;173,63;183,785;181,65;176,06;160,06;112,88;184;242;177,5;NA
"05-09-2015";NA;180;232;219;201;224;206;NA;177,82;163,06;181,56;178,31;175,82;153,315;175,29;176,665;180,905;189,87;181,695;164,06;146,335;161,02;156,9;164,9;167,43;174,985;173,51;170,255;155,86;104,43;180;232;171,1;NA
"06-09-2015";NA;175;222;213;195;216;199;NA;171,2;157,82;175,5;171,225;170,03;147,65;170,02;171,5;175,485;185,88;176,245;155,925;141,065;156,405;151,24;158,87;162,26;166,92;167,78;165,09;152,79;97,505;175;222;165,6;NA
"07-09-2015";NA;171;212;206;189;210;192;NA;167,2;154,755;169,68;165,71;166,46;143,315;166,62;167,735;169,9;183,045;173,295;150,095;137,6;152,995;146,06;154,37;160,03;161,51;163,88;161,625;152,55;92,41;171;212;161,8;NA
"08-09-2015";NA;167;203;199;184;207;187;NA;164,43;153,935;165,21;162,395;163,46;140,005;163,87;165,23;166,6;180,245;171,03;145,79;135,49;150,62;142,64;151,8;158,94;157,855;161,93;159,37;153,56;88,425;167;207;159,3;NA
"09-09-2015";NA;164;195;193;180;204;183;NA;161,39;152,355;160,46;159,31;160,42;137,32;159,62;162,41;164,11;176,685;167,5;141,96;132,98;148,045;140,84;148,9;158,19;154,26;159,43;156,67;154,24;86,78;164;204;156,7;NA
"10-09-2015";NA;161;190;189;176;202;179;NA;157,64;149,68;155,28;155,42;156,47;134,81;154,77;157,87;163,18;171,87;163,385;137,835;130,375;144,685;138,59;145,99;156,33;151,045;157,35;153,85;154,79;88,055;161;202;153,5;NA
"11-09-2015";NA;157;186;186;172;198;174;NA;153,58;147,05;149,92;152,285;151,73;132,775;150,2;152,18;160,135;166,67;160,115;133,655;127,29;140,785;135,65;143,04;153,48;147,53;154,85;151,05;154,75;92,24;157;198;149,7;NA
"12-09-2015";NA;152;182;182;168;193;169;NA;149,36;143,12;143,9;149,48;146,64;131,665;144,82;146,525;157,785;161,28;156,6;129,84;123,995;136,69;133,85;140,99;150,4;144,275;151,57;148,47;154,26;99,47;152;193;145,6;NA
"13-09-2015";NA;148;178;179;165;189;163;NA;146;138,645;138,42;147,855;141,66;130,28;138,67;139,84;157,035;157,095;154,05;127,18;121,895;132,765;132,5;139,19;147,23;141,475;148,74;147,46;152,04;108,805;148;189;141,7;NA
"14-09-2015";NA;144;173;175;162;186;157;NA;144,11;134,405;134,99;147,285;137,13;130,06;133,43;133,5;157,46;154,61;151,975;125,185;119,91;129,245;131,26;139,02;144,57;138,245;146,16;145,295;148,6;117,995;144;186;138,5;NA
"15-09-2015";NA;141;168;171;159;183;154;NA;143,53;130,595;133,64;147,445;133,22;129,72;129,8;129,065;157,67;152,61;150,725;124,47;119,54;126,76;130,43;139,05;142,07;135,84;143,64;144,385;145,31;125,15;141;183;136,4;NA
"16-09-2015";NA;139;164;167;155;180;152;NA;143,73;127,86;132,72;148,02;130,66;129,19;127,6;126,8;157,18;150,985;149,325;124,735;119,875;125,285;129,54;139,33;139,35;134,085;141,06;143,495;142,29;129,3;139;180;135,1;NA
"17-09-2015";NA;137;162;163;151;176;150;NA;143,74;125,3;132,58;148,105;128,79;128,215;126,01;125,46;155,68;149,785;147,33;124,975;119,99;124,27;128,24;138,49;136,33;133,63;137,73;142,18;138,67;131,31;137;176;133,7;NA
"18-09-2015";NA;135;160;160;146;172;148;NA;143,27;121,7;132,13;146,63;127,53;126,985;124,44;124,16;150,87;148,155;144,025;124,415;119,97;123,615;125,69;136,09;132,31;133,5;133,5;141,055;135,23;131,41;135;172;132;NA
"19-09-2015";NA;132;159;156;142;168;147;NA;141,82;117,96;131,76;145,18;126,22;125,74;122,47;122,955;145,29;145,055;139,32;123,2;120,285;122,22;121,25;131,92;126,55;131,845;128,36;139,1;132,54;129,03;132;168;129,6;NA
"20-09-2015";NA;129;159;152;138;163;146;NA;140,02;115,155;130,4;142,83;124,49;122,745;121,1;121,61;139,855;141,415;134,29;121,72;120,39;119,825;116,56;128,25;120,56;130,675;123,66;136,865;131,15;124,345;129;163;127,3;NA
"21-09-2015";NA;125;158;148;136;159;144;NA;138,49;112,62;128,96;140,63;122,77;119,135;119,94;120,45;135,715;138,245;129,665;120,54;120,6;116,485;111,84;124,93;115,12;129,97;119,28;134,12;130,65;117,72;125;159;125,4;NA
"22-09-2015";NA;121;158;144;134;155;143;NA;137,5;111,035;127,93;138,735;121,59;115,57;119,55;119,44;129,855;136,255;126,615;119,835;120,635;113,965;108,1;122,73;111,2;130,35;116,63;132,095;130,22;109,475;121;158;124;NA
"23-09-2015";NA;118;157;140;133;150;141;NA;136,15;108,385;127,02;136,735;119,83;113,56;119,44;117,91;122,815;135,77;124,755;119,575;121,615;111,735;106,31;120,66;108,61;132,05;113,96;130;131,46;99,55;118;157;123,1;NA
"24-09-2015";NA;115;156;137;132;146;139;NA;134,18;105,68;126,09;134,825;118,55;112,445;119,38;116,88;117,82;134,55;122,545;119,235;121,625;109,92;105,26;118,65;105,97;133,805;111,41;128,225;131,82;89,025;115;156;122;NA
"25-09-2015";NA;113;156;135;130;142;136;NA;132,53;103,185;125,01;132,12;116,37;112,17;119,18;115,71;114,36;132,165;119,695;117,705;119,895;108,38;105,85;116,62;102,59;134,335;108,33;125,77;131,12;79,785;113;156;120,7;NA
"26-09-2015";NA;112;156;134;129;138;132;NA;130,62;100,895;123,92;129,6;113,17;111,645;118,14;114,28;111,755;128,66;117,075;115,52;116,86;108,62;106,48;114,1;100,16;133,795;105,6;123,165;129,19;72,55;112;156;118,8;NA
"27-09-2015";NA;113;156;133;128;135;129;NA;129,13;98,57;124,26;125,97;110,4;110,73;116,68;113,45;108,725;123,85;114,375;112,96;114,18;108,695;107,84;111,35;98,01;132,775;103,52;120,6;125,02;67,21;113;156;116,8;NA
