identifiantEleve;CG101;CG102;CG104;CG107;CG109;CG110;CG111;CG112;CG113;CG114;CG115;CG116;CG117;CG118;CG119;CG120;CG122;CG124;CG103;CG105;CG106;CG108;CG121;CG123;scoreLSE;sexe;retard;immig;pcspere;pcsmere;numero_u;acad;secteur;secteur_EP;scale111i;score111i
CG10020467X3031;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;19;2;2;1;4;4;0020467X;20;pr;pr;0,53409;270,2324581
CG10020467X3042;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;1;1;0;0;0;11;1;1;1;2;5;0020467X;20;pr;pr;-0,521599;222,9029684
CG10020467X3062;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;1;1;0;0;12;1;2;1;1;3;0020467X;20;pr;pr;0,268444;258,3228051
CG10020467X3122;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;22;2;2;1;5;5;0020467X;20;pr;pr;1,579256;317,0901722
CG10021826Z3071;0;0;1;0;1;1;1;1;1;1;1;0;0;;;;;;1;1;0;1;;;11;2;2;1;6;5;0021826Z;20;pu;ep;-0,526571;222,6800597
CG10021826Z3131;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;23;2;2;1;3;7;0021826Z;20;pu;ep;1,740013;324,297358
CG10021826Z3151;1;1;1;1;1;1;1;0;1;1;1;0;0;;;;;;1;1;1;1;;;14;2;1;1;5;7;0021826Z;20;pu;ep;-0,077311;242,8216417
CG10021826Z3171;1;0;1;1;0;1;1;1;0;1;1;1;;;;;;;1;1;1;1;;;13;1;1;1;;7;0021826Z;20;pu;ep;-0,965764;202,9898095
CG10021826Z3231;0;0;1;1;1;1;0;1;0;0;1;1;1;0;0;1;;;1;1;1;1;1;;14;2;2;1;6;4;0021826Z;20;pu;ep;-0,124357;240,712438
CG10021826Z3271;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;;1;1;1;1;1;0;15;1;2;1;4;7;0021826Z;20;pu;ep;-1,205875;192,224962
CG10030021G3031;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;17;2;2;1;;;0030021G;6;pu;ep;0,45812;266,8265105
CG10030021G3171;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;11;1;2;1;;;0030021G;6;pu;ep;-1,946551;159,0183859
CG10030021G3231;0;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;1;0;11;2;1;2;;;0030021G;6;pu;ep;-0,619766;218,5018673
CG10030021G3271;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;1;1;1;;;0030021G;6;pu;ep;-1,606647;174,2572327
CG10030035X3111;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;23;2;2;1;3;3;0030035X;6;pu;pu;2,391361;353,4991101
CG10030035X3151;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;21;2;1;2;1;7;0030035X;6;pu;pu;0,362095;262,5214413
CG10030035X3191;1;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;17;2;1;1;1;1;0030035X;6;pu;pu;-0,776425;211,4784063
CG10030035X3211;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;8;1;1;1;1;6;0030035X;6;pu;pu;-2,081444;152,9707556
CG10030035X3231;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;21;2;2;1;1;5;0030035X;6;pu;pu;1,593242;317,7172037
CG10061130W3031;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;18;1;2;1;4;7;0061130W;23;pu;ep;1,145763;297,6554689
CG10061130W3251;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;5;2;1;1;4;;0061130W;23;pu;ep;-1,502871;178,9098009
CG10061461F3071;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;10;1;2;1;7;3;0061461F;23;pr;pr;-1,181453;193,3198686
CG10061461F3091;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;15;2;2;1;4;4;0061461F;23;pr;pr;0,144112;252,7486539
CG10061461F3111;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;1;0;15;1;2;1;3;3;0061461F;23;pr;pr;1,20138;300,1489346
CG10061461F3231;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;12;2;2;1;3;4;0061461F;23;pr;pr;-0,414174;227,7191315
CG10061461F3291;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;16;1;2;1;;4;0061461F;23;pr;pr;-0,775472;211,5211319
CG10070006U3031;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;20;2;2;1;2;4;0070006U;8;pu;ep;1,120536;296,524472
CG10070006U3231;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;9;1;1;1;3;5;0070006U;8;pu;ep;0,300986;259,781754
CG10070006U3251;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;20;2;2;1;4;4;0070006U;8;pu;ep;1,648196;320,1809452
CG10070017F3091;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;14;1;2;1;;;0070017F;8;pu;ep;-0,03595;244,675971
CG10070017F3111;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;22;2;2;1;;;0070017F;8;pu;ep;1,330887;305,9550955
CG10070017F3131;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;16;1;1;1;;;0070017F;8;pu;ep;-0,597143;219,5161196
CG10070017F3191;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;;1;1;1;0;1;;18;1;2;1;2;4;0070017F;8;pu;ep;0,738502;279,3968196
CG10070017F3231;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;2;2;1;;;0070017F;8;pu;ep;2,491832;358,0035059
