annee,sexe,age3e,retard,secteur,acad,poids,score,plaisir,performance,estime_soi,anx_sociale,anx_echouer,anx_decevoir,anx_separer
2003,1,15.065753425,2,pu,10,0.4640980072,239.41470785,0.4511453292,-0.272022505,2.1586058971,2.0698417619,0.9336971293,0.5880962329,-1.387450013
2003,1,15.326027397,1,pu,10,0.4971468277,199.92284276,-1.459777262,-1.51834556,-0.402565138,-0.990462981,-1.711176851,-0.715925945,-0.341929814
2003,2,14.81369863,2,pu,10,0.4603422075,235.62261546,-1.640801543,0.0450672164,-0.663578077,-0.770313898,-0.872553258,0.372871853,-1.051428909
2003,1,16.232876712,1,pu,10,0.4971468277,266.81947178,-0.407631775,-0.179552144,-0.316526064,-0.990462981,0.2049481618,-1.141765078,-1.387450013
2003,2,14.652054795,2,pu,10,0.4603422075,244.04490453,1.2055448079,0.5578583421,-0.359545601,-0.990462981,-0.81799298,2.1043464178,2.1578625741
2003,2,14.315068493,2,pu,10,0.4603422075,331.04949092,-1.3872777,-1.009432992,-0.685161538,0.1066376552,-0.056406276,1.4574004546,-1.387450013
2003,2,16.235616438,1,pu,10,0.4931235743,216.58867255,1.997994401,0.5867762988,1.0617617146,-0.542961509,0.7493795794,-0.067196512,0.3301123942
2003,2,16.734246575,1,pu,10,0.4931235743,243.12466656,0.6493943342,-0.434927395,-1.043729354,0.5425641039,1.9959627854,1.0297778525,-0.342884898
2003,2,15.821917808,1,pu,10,0.4931235743,224.10116969,-0.075447792,-1.516304935,-0.468763666,-0.990462981,1.9959627854,2.1043464178,-0.715407805
2003,1,15.147945205,2,pu,10,0.4640980072,336.27865376,0.6321696103,-0.434927395,-1.554092045,0.0957895726,0.4583076833,1.2386091354,-0.09975575
2003,2,15.490410959,1,pu,10,0.4931235743,177.78261474,-1.921322828,-0.467723909,0.1938366266,-0.333660509,-1.217002327,-0.059019946,-1.051428909
2003,1,15.98630137,1,pu,10,0.4971468277,244.97791985,-0.897454738,0.7824777027,1.8545734209,-0.548710935,-0.910694667,0.3800935257,2.4192426238
2003,1,15.578082192,1,pu,10,0.4971468277,240.7651165,0.4130952148,0.269686577,-0.522856279,-0.990462981,0.7196621216,-0.064414252,-0.435776854
2003,1,16.235616438,1,pu,10,0.4971468277,228.43161429,0.3405956528,-1.608775297,0.2053524297,2.0987412346,1.7570849579,2.1043464178,1.0386564049
2003,2,14.657534247,2,pu,10,0.4603422075,279.69854428,-0.093952472,1.0667709101,,-0.571860981,1.9959627854,1.6651066281,-1.051428909
2003,1,15.578082192,1,pu,10,0.4971468277,231.34991549,-2.185899344,-2.315429893,2.1586058971,-0.990462981,-2.248367421,-1.358602712,-1.387450013
2003,1,15.484931507,1,pu,10,0.4971468277,209.19511681,-1.223478143,-1.77372081,-0.712429208,-0.990462981,1.1191977836,2.1043464178,1.4675694646
2003,2,14.98630137,2,pu,10,0.4603422075,247.44116816,-1.122701184,0.0450672164,0.8564369188,-0.990462981,-1.141148543,-0.930151534,-0.864689914
2003,2,14.816438356,2,pu,10,0.4603422075,289.75844089,1.7334178848,1.0070970634,0.8721887857,-0.340136876,-0.602774868,0.3674775471,1.4675694646
2003,2,14.904109589,2,pu,10,0.4603422075,311.30257206,-0.650102945,0.7517218127,2.1586058971,-0.781161981,-2.009489594,-1.141765078,-0.864689914
2003,2,,1,pu,10,0.4931235743,266.64251673,1.7616952817,0.0143113264,0.1780847598,1.8612677028,1.9959627854,-0.927539489,-1.126069963
2003,1,,2,pu,10,0.4640980072,289.6775177,-0.122229868,1.5467655214,-0.316526064,-0.770313898,0.427407121,1.0235549709,0.5158963054
2003,1,15.235616438,2,pu,10,0.4640980072,258.95508202,1.7064204435,0.1234615512,0.0636252126,-0.990462981,0.1885292935,-0.271462065,0.8519174095
2003,M,13.326027397,2,pu,10,0.3375188454,275.95478164,,,,,,,
2003,2,14.745205479,2,pu,10,0.3375188454,296.96011226,1.7064204435,1.231716424,1.1762212619,-0.345235532,-0.34142043,-1.358602712,-0.09975575
2003,1,14.742465753,2,pu,10,0.3402725645,275.15859602,0.6604470072,-0.496641866,-0.392644865,0.0957895726,0.9039796715,1.2340434051,-0.025114695
2003,1,14.487671233,2,pu,10,0.3402725645,281.65876862,-2.185899344,0.269686577,-0.64782621,1.6403916801,0.3812707949,1.8875087836,-1.387450013
2003,1,14.487671233,2,pu,10,0.3402725645,183.83531121,-2.185899344,-2.315429893,-0.457247862,-0.990462981,-0.004966278,-0.707091018,-1.387450013
2003,2,15.991780822,1,pu,10,0.3615538543,187.87712227,-0.187277424,-0.721261227,0.3618260947,-0.990462981,0.4583076833,-0.492036854,1.0386564049
2003,2,14.821917808,2,pu,10,0.3375188454,337.54168329,-0.413803826,1.0667709101,0.2542035605,1.2109415984,-1.164808259,-1.143548547,1.1132974593
2003,2,14.819178082,2,pu,10,0.3375188454,339.42452623,0.1595713716,0.269686577,-1.694813843,2.5173432337,1.4732539088,2.1043464178,2.4192426238
2003,2,15.071232877,2,pu,10,0.3375188454,347.37880574,0.6493943342,1.7713848821,0.8780203797,0.9655378186,1.7346083471,-0.485517438,2.4192426238
2003,1,14.736986301,2,pu,10,0.3402725645,318.60942116,1.2055448079,1.5467655214,1.827305751,-0.990462981,-0.925930431,-1.358602712,0.1616243001
2003,1,14.734246575,2,pu,10,0.3402725645,292.91641822,0.395870491,1.005056439,0.985642914,,-0.128568527,-1.358602712,-0.00590871
2003,1,16.232876712,1,pu,10,0.3645036682,218.97413596,-0.869177341,-0.210308034,2.1586058971,-0.990462981,-0.446991672,-0.715925945,-1.387450013
2003,M,16.317808219,1,pu,10,0.3615538543,216.59602512,,,,,,,
2003,1,15.315068493,1,pu,10,0.3645036682,211.29938893,-0.171332656,-2.058014018,0.2483719664,-0.770313898,1.5182071304,2.1043464178,0.7026353007
2003,2,14.646575342,2,pu,10,0.3375188454,286.78575752,1.4528966003,0.4346320909,0.0420417517,1.6403916801,1.2271352344,1.2386091354,2.1578625741
2003,2,14.980821918,2,pu,10,0.3375188454,277.92406221,0.1595713716,,,-0.990462981,,0.37926495,0.6843843995
2003,2,14.895890411,2,pu,10,0.3375188454,271.98192342,-0.396579102,-0.01460663,-0.484515532,-0.990462981,0.6273894694,1.8901208289,2.4192426238
2003,2,14.728767123,2,pu,10,0.3375188454,306.43247508,0.186568813,0.7496811883,0.2426877574,1.6584430702,1.4660130618,1.4528347243,0.3483632954
2003,2,14.810958904,2,pu,10,0.3375188454,196.87963739,-0.424856499,-2.058014018,-1.587191309,1.4310906806,0.0737800305,2.1043464178,0.3483632954
2003,1,14.473972603,2,pu,10,0.3402725645,326.2193848,0.6874444485,1.231716424,-0.061344719,1.4137662309,-1.187284869,-1.358602712,0.1798752013
2003,1,14.723287671,2,pu,10,0.3402725645,266.62920139,-0.396579102,1.0070970634,-0.316526064,-0.990462981,-1.402502982,-0.500871781,-1.387450013
2003,M,14.471232877,2,pu,10,0.3375188454,265.85368369,-0.132002586,0.7496811883,1.8115538842,-0.990462981,-1.164808259,-0.709703064,-0.435776854
2003,2,15.136986301,2,pu,10,0.3375188454,240.67648206,-0.583775434,0.7824777027,1.148953592,0.3448381274,0.6189655179,-1.358602712,-1.387450013
2003,1,14.97260274,2,pu,10,0.3402725645,228.16225886,-0.413803826,-0.239225991,0.318806558,0.7699164936,0.9112205185,1.6705009341,2.1578625741
2003,1,14.890410959,2,pu,10,0.3402725645,265.42983443,1.4701213241,-1.260929685,,-0.350984959,,-1.358602712,0.7208862019
2003,1,14.471232877,2,pu,10,0.3402725645,246.78701284,0.9520209647,1.2913902708,0.9210399164,1.2102146579,0.6735257955,-0.0627571,-0.249037858
2003,2,13.890410959,2,pu,10,0.3375188454,338.6761772,1.997994401,1.7713848821,1.2408242595,0.5360877369,-0.342603535,1.2368256658,-0.435776854
