Geometry X Y;Geometry;INSEE;CHOM75;CHOM82;CHOM90;CHOM99;CHOM2006;CHOM2007;CHOM2008;Chom2009;TxChom2009
49.192566333, 2.06946632874;"{""type"": ""Polygon"", ""coordinates"": [[[2.095250483984806, 49.19012979517852], [2.088333178205651, 49.188902635349045], [2.076160027910354, 49.17327312162974], [2.07615172610231, 49.173262458150276], [2.055359612090377, 49.1839509861834], [2.04877535193901, 49.18383575665669], [2.046022039044526, 49.190123740485966], [2.037872668546935, 49.192306061114294], [2.047015198804155, 49.19857042146067], [2.077551169202602, 49.20836166883202], [2.082501627542793, 49.20621523474897], [2.091138470640639, 49.20860109200962], [2.089112208490696, 49.19392065110242], [2.095250483984806, 49.19012979517852]]]}";95059;3.0;12.0;12.0;17.0;15;15.0;14.73;14.69;8.379885
49.1612708203, 2.32834941574;"{""type"": ""Polygon"", ""coordinates"": [[[2.35931888547541, 49.147504335751954], [2.338756200220917, 49.146049678476544], [2.328983058034065, 49.1418318414276], [2.322991936064125, 49.1462107094632], [2.312119458395064, 49.150174647425075], [2.310441981531534, 49.185065858757675], [2.321554482066555, 49.18432149719832], [2.35931888547541, 49.147504335751954]]]}";95116;28.0;47.0;142.0;181.0;217;220.44;224.27;233.17;12.48066
49.1739659909, 1.97979310928;"{""type"": ""Polygon"", ""coordinates"": [[[1.99912982674282, 49.17550822953903], [1.991485134285343, 49.168336238255264], [1.989697382994167, 49.16903228483295], [1.985685734006416, 49.16616038227947], [1.97803404869825, 49.16419428616173], [1.961981004837036, 49.17436782095798], [1.973323287653481, 49.183801739462794], [1.99912982674282, 49.17550822953903]]]}";95447;1.0;0.0;6.0;5.0;6;6.0;6.0;5.77;5.042017
49.1679276672, 2.21387563349;"{""type"": ""Polygon"", ""coordinates"": [[[2.216831842708079, 49.153846585733405], [2.196818752961, 49.16701622275371], [2.188406774643354, 49.17515187879189], [2.213074956974607, 49.175847707915814], [2.2185225015046, 49.180664526697626], [2.235382141276974, 49.16699378724711], [2.216831842708079, 49.153846585733405]]]}";95529;7.0;31.0;20.0;28.0;26;26.39;26.72;32.81;8.06846
49.166537866, 1.99957407498;"{""type"": ""Polygon"", ""coordinates"": [[[2.012663433651197, 49.16572709398448], [1.995897340533662, 49.158951963510525], [1.9893752360914, 49.162187800844265], [1.991485134285343, 49.168336238255264], [1.99912982674282, 49.17550822953903], [2.012663433651197, 49.16572709398448]]]}";95303;1.0;4.0;7.0;1.0;6;6.0;6.07;6.03;6.31579
49.1584983023, 2.17826896652;"{""type"": ""Polygon"", ""coordinates"": [[[2.188406774643354, 49.17515187879189], [2.196818752961, 49.16701622275371], [2.192367660830466, 49.16499635359963], [2.198452376846506, 49.156631639970456], [2.192285148280753, 49.15570679509083], [2.187161400982444, 49.1634159722657], [2.185608969845681, 49.14644471427667], [2.170467453624871, 49.14059651385746], [2.165046616927739, 49.1425399563207], [2.16587746933034, 49.15594932632911], [2.159894700733715, 49.157307163458924], [2.16368847652953, 49.16633262219314], [2.17181492281337, 49.16619491615311], [2.17934152800094, 49.1703406489255], [2.179735662798842, 49.17573489405426], [2.188406774643354, 49.17515187879189]]]}";95304;1.0;3.0;12.0;8.0;18;17.65;13.88;13.47;10.483871
49.1570059626, 2.06911069114;"{""type"": ""Polygon"", ""coordinates"": [[[2.086907041970701, 49.16061583196781], [2.084794551517094, 49.15271559444323], [2.084703000636097, 49.14916326086554], [2.067295224128606, 49.1436651314733], [2.059072482155445, 49.153114910668485], [2.049624107141779, 49.15584346069564], [2.049502408275698, 49.16262369271213], [2.072857883416769, 49.169801969114154], [2.077314969652107, 49.16200642690687], [2.087086686884482, 49.16305325299077], [2.086907041970701, 49.16061583196781]]]}";95611;3.0;2.0;0.0;4.0;0;0.0;;;0.0
49.149432306, 1.87759742707;"{""type"": ""Polygon"", ""coordinates"": [[[1.893411917402754, 49.14409640966882], [1.882982713058784, 49.13786851644774], [1.87482923442777, 49.140632748813765], [1.866997617426788, 49.13828076977102], [1.855191123460449, 49.14025520054886], [1.857288877166923, 49.143015816540434], [1.871919356940673, 49.16000964035278], [1.882943991248167, 49.161492639684965], [1.891293170281879, 49.16320702829939], [1.896626752573913, 49.160215008017495], [1.891002204884893, 49.15897925416688], [1.893411917402754, 49.14409640966882]]]}";95054;3.0;4.0;3.0;7.0;7;7.21;7.12;7.0;5.109489
49.1427491331, 1.66604283226;"{""type"": ""Polygon"", ""coordinates"": [[[1.678735102844935, 49.15633030969655], [1.676995953349329, 49.14589740491728], [1.671238567657972, 49.14296049470622], [1.674522434258909, 49.13918334337389], [1.669703535143833, 49.13875073747901], [1.675369241608349, 49.13375122173801], [1.671227370445157, 49.12737439436916], [1.655683275611111, 49.13068252106345], [1.658335419092364, 49.13514980193787], [1.653251570842334, 49.13660417914152], [1.653036753593731, 49.144668970239955], [1.664025525703599, 49.15411367078168], [1.671466140093596, 49.158509676494674], [1.678735102844935, 49.15633030969655]]]}";95101;8.0;14.0;33.0;30.0;24;24.37;25.0;25.42;5.580358
49.1227526877, 2.20123446603;"{""type"": ""Polygon"", ""coordinates"": [[[2.217246912810993, 49.123982249142834], [2.209397671365067, 49.112598018744684], [2.20930972377385, 49.093587303844544], [2.198571167376735, 49.09460903315979], [2.181026561879181, 49.10856126150127], [2.19931345292289, 49.11821582586337], [2.189856935070046, 49.13775427717384], [2.189858415538905, 49.14186394772082], [2.197556858027558, 49.14357315743154], [2.192285148280753, 49.15570679509083], [2.198452376846506, 49.156631639970456], [2.211649244369616, 49.143085787509634], [2.211254933834197, 49.13104412367101], [2.217246912810993, 49.123982249142834]]]}";95480;55.0;121.0;163.0;213.0;223;225.78;232.05;230.5;8.0569
49.123747842, 2.07303216331;"{""type"": ""Polygon"", ""coordinates"": [[[2.09211752797456, 49.11635576678552], [2.072856256583076, 49.10082752846335], [2.065663125914253, 49.10136830408533], [2.060411982638679, 49.10973704288263], [2.050085067106259, 49.109495875782976], [2.04754845033648, 49.12162976432213], [2.064511070559645, 49.13150934523069], [2.067295224128606, 49.1436651314733], [2.084703000636097, 49.14916326086554], [2.091930983467224, 49.145716694413025], [2.085481034590181, 49.139048128820015], [2.08999852155559, 49.13741225520162], [2.088476178718929, 49.12943240372118], [2.093429586325571, 49.12812107831693], [2.09211752797456, 49.11635576678552]]]}";95213;4.0;12.0;9.0;16.0;25;24.76;10.74;10.88;3.333333
49.1398576107, 1.94414606667;"{""type"": ""Polygon"", ""coordinates"": [[[1.963819824641026, 49.145192149296264], [1.949288170381955, 49.13136698807023], [1.944258408121596, 49.12968621537518], [1.937433814906218, 49.134797576441926], [1.933920070726176, 49.13207844724805], [1.924179810628085, 49.139867614498634], [1.931349887703073, 49.14468635397094], [1.959631308798259, 49.14798422021267], [1.963819824641026, 49.145192149296264]]]}";95110;4.0;5.0;5.0;9.0;4;3.99;4.0;3.77;3.636363
49.1280205014, 2.43601413245;"{""type"": ""Polygon"", ""coordinates"": [[[2.461213890439956, 49.136711087740146], [2.430567783992094, 49.114636035934126], [2.425923993933817, 49.11739606419557], [2.415707416717967, 49.12232347296844], [2.414211108820605, 49.12617804943019], [2.423340762384777, 49.13247092141333], [2.435497144166486, 49.13403818967656], [2.457879568300254, 49.14071639758194], [2.461213890439956, 49.136711087740146]]]}";95149;31.0;64.0;74.0;132.0;146;95.29;95.15;95.0;5.722892
49.1167919503, 1.75444655872;"{""type"": ""Polygon"", ""coordinates"": [[[1.7666539647711, 49.13240304698242], [1.771921814191364, 49.12954237999934], [1.767039986181217, 49.123879629281376], [1.781492195749177, 49.11810511984043], [1.776867489101763, 49.10788459029738], [1.759694847376567, 49.102808297680866], [1.754067827370921, 49.08982993337956], [1.742810768219559, 49.094520426933016], [1.741180505314435, 49.0991253659863], [1.745117918095154, 49.10771608898232], [1.738365034970475, 49.11449772442129], [1.730170797814776, 49.12469768289186], [1.741713044984806, 49.13796887168282], [1.7666539647711, 49.13240304698242]]]}";95270;5.0;12.0;17.0;22.0;26;26.2;26.54;21.41;7.308969
