"";"Ville";"Date appel";"Date Rendez-vous";"Délai rendez-vous";"Tarif";"Dépassement d'honoraires"
"1";"AJACCIO";2012-10-01;2012-10-25;24;35;7
"2";"ALBI";2012-10-02;2013-06-01;242;28;0
"3";"ALBI";2012-10-02;2012-11-12;41;28;0
"4";"ALENCON";2012-10-01;2012-10-04;3;28;0
"5";"AMIENS";2012-10-02;2012-11-26;55;28;0
"6";"AMIENS";2012-10-02;2012-12-21;80;28;0
"7";"AMIENS";2012-10-02;2012-11-05;34;28;0
"8";"AMIENS";2012-10-02;2013-01-02;92;28;0
"9";"AMIENS";2012-10-02;2012-11-13;42;28;0
"10";"AMIENS";2012-10-02;2012-10-22;20;28;0
"11";"AMIENS";2012-10-02;2012-10-25;23;28;0
"12";"AMIENS";2012-10-02;2013-02-15;136;35,5;7,5
"13";"AMIENS";2012-10-02;2013-03-04;153;43;15
"14";"AMIENS";2012-10-02;2012-12-03;62;50;22
"15";"ARRAS";2012-10-02;2012-10-17;15;28;0
"16";"ARRAS";2012-10-02;2012-11-12;41;28;0
"17";"ARRAS";2012-10-02;2012-10-03;1;36,5;8,5
"18";"AURILLAC";2012-10-02;2013-01-07;97;28;0
"19";"AVESNES LE COMTE";2012-09-28;2012-10-04;6;28;0
"20";"BEAUSOLEIL";2012-10-01;2012-11-27;57;58;30
"21";"BEAUSOLEIL";2012-10-01;2012-10-02;1;28;0
"22";"BETHUNE";2012-10-02;2012-10-24;22;28;0
"23";"BETHUNE";2012-10-02;2013-04-12;192;28;0
"24";"BLAYE";2012-09-28;2012-11-13;46;28;0
"25";"BOURGOIN JALLIEU";2012-10-01;2013-01-02;93;28;0
"26";"BREST";2012-10-02;2013-02-07;128;55;27
"27";"BREST";2012-10-02;2013-02-07;128;55;27
"28";"BRIGNOLES";2012-10-01;2012-10-09;8;28;0
"29";"BRIGNOLES";2012-10-01;2012-12-06;66;49;21
"30";"BRIN SUR SEILLE";2012-10-01;2012-10-05;4;47;19
"31";"CAEN";2012-10-01;2012-10-12;11;42;14
"32";"CAEN";2012-10-01;2012-10-08;7;45;17
"33";"CAEN";2012-10-01;2012-10-30;29;46;18
"34";"CAEN";2012-10-01;2012-10-31;30;45;17
"35";"CALAIS";2012-10-02;2012-10-06;4;28;0
"36";"CALAIS";2012-10-02;2012-10-22;20;28;0
"37";"CAMBRAI";2012-09-27;2013-01-15;110;38;10
"38";"CAMBRAI";2012-09-27;2013-02-04;130;40;12
"39";"CHALONS EN CHAMPAGNE";2012-10-01;2012-11-08;38;28;0
"40";"CHALONS EN CHAMPAGNE";2012-10-02;2012-11-20;49;53;25
"41";"CHANTILLY";2012-10-01;2013-01-03;94;62;34
"42";"CHANTILLY";2012-10-01;2012-10-24;23;50;22
"43";"CHANTILLY";2012-10-01;2012-12-10;70;50;22
"44";"CHANTONNAY";2012-09-28;2012-10-10;12;28;0
"45";"CHATEAU THIERRY";2012-10-01;2012-11-09;39;28;0
"46";"CHATEAUROUX";2012-10-01;2013-02-16;138;28;0
"47";"CHATEAUROUX";2012-09-28;2012-11-13;46;47;19
"48";"CHATOU";2012-10-01;2012-10-22;21;50;22
"49";"CLERMONT FERRAND";2012-09-27;2012-11-20;54;28;0
"50";"CLERMONT FERRAND";2012-09-27;2012-10-12;15;28;0
"51";"CLERMONT FERRAND";2012-09-27;2013-03-28;182;28;0
"52";"CLERMONT FERRAND";2012-09-27;2012-10-05;8;28;0
"53";"CLERMONT FERRAND";2012-09-27;2012-10-17;20;28;0
"54";"CLERMONT FERRAND";2012-09-27;2012-10-18;21;28;0
"55";"CREIL";2012-10-02;2012-12-14;73;28;0
"56";"CREIL";2012-10-01;2012-11-29;59;28;0
"57";"CREIL";2012-10-02;2012-10-05;3;55;27
"58";"DAX";2012-10-02;2012-10-30;28;40;12
"59";"DOMBASLE SUR MEURTHE";2012-10-01;2012-10-09;8;47;19
"60";"DOURDAN";2012-10-02;2012-10-12;10;46;18
"61";"ESBLY";2012-10-02;2012-10-08;6;49;21
"62";"EVREUX";2012-10-02;2012-10-19;17;28;0
"63";"FONTAINEBLEAU";2012-10-02;2012-11-28;57;57;29
"64";"FONTAINEBLEAU";2012-10-02;2012-10-19;17;47;19
"65";"FONTAINEBLEAU";2012-10-02;2013-01-15;105;57;29
"66";"FONTAINEBLEAU";2012-10-02;2012-11-30;59;55;27
"67";"FONTAINEBLEAU";2012-10-02;2012-10-15;13;52;24
"68";"GAILLON";2012-10-02;2012-10-12;10;28;0
"69";"GARGENVILLE";2012-10-02;2012-10-08;6;42;14
"70";"HALLUIN";2012-10-02;2012-10-16;14;28;0
"71";"HOUILLES";2012-10-01;2012-12-14;74;28;0
"72";"L ISLE ADAM";2012-10-02;2012-10-04;2;50;22
"73";"L ISLE JOURDAIN";2012-09-28;2012-12-04;67;28;0
"74";"LA CIOTAT";2012-10-02;2012-11-08;37;48;20
"75";"LA CIOTAT";2012-10-02;2012-10-10;8;45;17
"76";"LA CIOTAT";2012-10-02;2012-10-08;6;50;22
"77";"LE BLANC MESNIL";2012-10-01;2012-10-12;11;55;27
"78";"LE HAVRE";2012-10-01;2012-10-30;29;28;0
"79";"LE HAVRE";2012-10-01;2012-12-03;63;28;0
"80";"LE HAVRE";2012-10-01;2012-10-02;1;28;0
"81";"LE MANS";2012-10-02;2013-01-02;92;28;0
"82";"LE MANS";2012-10-02;2013-01-08;98;28;0
"83";"LIEVIN";2012-10-01;2012-11-14;44;28;0
"84";"LONGWY";2012-09-28;2012-11-12;45;28;0
"85";"LUNEVILLE";2012-09-28;2012-10-03;5;28;0
"86";"LUNEVILLE";2012-09-28;2012-11-02;35;28;0
"87";"LUNEVILLE";2012-09-28;2012-10-05;7;28;0
"88";"MALESTROIT";2012-09-28;2012-11-15;48;42;14
"89";"MANOSQUE";2012-10-02;2012-10-11;9;55;27
"90";"MARSEILLE";2012-09-27;2012-10-01;4;28;0
"91";"MARSEILLE";2012-09-27;2012-10-18;21;28;0
"92";"MARSEILLE";2012-09-27;2012-10-08;11;70;42
"93";"MARSEILLE";2012-09-27;2012-10-12;15;70;42
"94";"MARSEILLE";2012-09-27;2012-10-11;14;56;28
"95";"MARSEILLE";2012-09-27;2012-10-02;5;60;32
"96";"MARSEILLE";2012-09-27;2012-10-12;15;45,5;17,5
"97";"MARSEILLE";2012-09-27;2012-10-01;4;55;27
"98";"MARSEILLE";2012-09-27;2012-10-08;11;85;57
"99";"MARSEILLE";2012-09-27;2012-10-22;25;60;32
"100";"MAUBEUGE";2012-10-01;2012-11-29;59;28;0
"101";"MAUBEUGE";2012-10-01;2012-10-24;23;28;0
"102";"MAUBEUGE";2012-10-01;2012-10-10;9;28;0
"103";"MEAUX";2012-09-28;2013-01-11;105;50;22
"104";"MEAUX";2012-10-02;2013-01-08;98;60;32
"105";"MEAUX";2012-10-01;2012-10-26;25;52;24
"106";"METZ";2012-10-01;2012-10-09;8;28;0
"107";"METZ";2012-10-01;2012-10-02;1;28;0
"108";"METZ";2012-10-01;2012-10-15;14;28;0
"109";"METZ";2012-10-01;2012-10-03;2;28;0
"110";"METZ";2012-10-01;2012-10-17;16;28;0
"111";"METZ";2012-10-01;2012-10-08;7;28;0
"112";"METZ";2012-10-01;2012-10-23;22;28;0
"113";"METZ";2012-10-01;2012-10-09;8;28;0
"114";"METZ";2012-10-01;2012-10-10;9;28;0
"115";"METZ";2012-10-01;2012-10-04;3;28;0
"116";"METZ";2012-10-01;2012-10-23;22;28;0
"117";"METZ";2012-09-27;2012-11-29;63;55;27
"118";"METZ";2012-09-27;2012-10-15;18;50;22
"119";"METZ";2012-09-27;2012-10-31;34;50;22
"120";"MONTLUCON";2012-09-27;2012-10-16;19;55,5;27,5
"121";"MORLAIX";2012-09-28;2013-02-07;132;28;0
"122";"MOULINS";2012-10-01;2012-10-11;10;28;0
"123";"MURET";2012-10-01;2012-10-25;24;40;12
"124";"NANCY";2012-10-01;2012-10-11;10;28;0
"125";"NANCY";2012-10-01;2012-10-10;9;28;0
"126";"NANCY";2012-10-01;2012-10-04;3;52,5;24,5
"127";"NANCY";2012-10-01;2012-10-12;11;44;16
"128";"NIORT";2012-10-02;2012-10-25;23;28;0
"129";"NIORT";2012-10-02;2012-11-12;41;28;0
"130";"NONANCOURT";2012-10-02;2012-10-12;10;28;0
"131";"ORSAY";2012-10-01;2012-11-05;35;28;0
"132";"ORSAY";2012-10-01;2012-10-25;24;28;0
"133";"OSNY";2012-09-28;2012-10-08;10;28;0
"134";"OZOIR LA FERRIERE";2012-09-28;2012-10-26;28;28;0
"135";"PARIS";2012-09-27;2012-10-02;5;28;0
"136";"PARIS";2012-09-27;2012-10-05;8;28;0
"137";"PARIS";2012-09-27;2012-10-04;7;55;27
"138";"PARIS";2012-09-27;2013-01-03;98;28;0
"139";"PARIS";2012-09-27;2012-10-16;19;110;82
"140";"PARIS";2012-09-27;2012-11-21;55;70;42
"141";"PARIS";2012-09-27;2012-11-15;49;65;37
"142";"PARIS";2012-09-27;2012-10-16;19;85;57
"143";"PARIS";2012-09-27;2012-11-08;42;58;30
"144";"PAU";2012-10-01;2013-02-15;137;28;0
"145";"PAU";2012-10-01;2012-10-31;30;28;0
"146";"PAU";2012-10-01;2012-10-09;8;28;0
"147";"PAU";2012-10-01;2012-10-03;2;28;0
"148";"PAU";2012-10-01;2012-10-02;1;28;0
"149";"PAU";2012-10-01;2012-11-02;32;28;0
"150";"PAU";2012-09-27;2012-10-29;32;50;22
"151";"PERPIGNAN";2012-10-01;2012-12-12;72;28;0
"152";"PERPIGNAN";2012-10-01;2012-11-02;32;28;0
"153";"PERPIGNAN";2012-10-01;2012-10-16;15;28;0
"154";"PERPIGNAN";2012-10-01;2013-01-28;119;28;0
"155";"PERPIGNAN";2012-10-01;2013-01-08;99;28;0
"156";"PERPIGNAN";2012-10-01;2012-10-22;21;48;20
"157";"PONT AUDEMER";2012-10-01;2012-11-13;43;28;0
"158";"PONT AUDEMER";2012-10-01;2012-11-29;59;28;0
"159";"PONT AUDEMER";2012-10-01;2012-11-06;36;45;17
"160";"PONTOISE";2012-10-02;2012-10-11;9;40;12
"161";"PONTOISE";2012-10-02;2012-10-30;28;49;21
"162";"PONTOISE";2012-10-02;2012-12-06;65;75;47
"163";"PRIVAS";2012-09-28;2012-10-04;6;28;0
"164";"PROVINS";2012-10-01;2012-10-15;14;28;0
"165";"RAMBERVILLERS";2012-09-28;2012-10-02;4;28;0
"166";"REIMS";2012-10-01;2012-10-16;15;28;0
"167";"REIMS";2012-10-01;2012-10-16;15;28;0
"168";"REIMS";2012-10-01;2012-12-21;81;28;0
"169";"REIMS";2012-10-01;2012-12-22;82;28;0
"170";"REIMS";2012-10-01;2012-10-12;11;35;7
"171";"REIMS";2012-10-01;2012-10-04;3;28;0
"172";"REIMS";2012-10-01;2012-10-22;21;28;0
"173";"REIMS";2012-10-02;2012-11-05;34;28;0
"174";"REIMS";2012-10-02;2012-10-22;20;40;12
"175";"REIMS";2012-10-02;2012-12-04;63;43;15
"176";"ROANNE";2012-10-01;2013-02-04;126;55;27
"177";"ROMORANTIN";2012-10-01;2012-10-11;10;28;0
"178";"ROMORANTIN";2012-10-01;2012-10-12;11;40;12
"179";"ROYAN";2012-10-02;2012-10-09;7;32;4
"180";"RUFFEC";2012-09-28;2012-10-08;10;28;0
"181";"SABLE SUR SARTHE";2012-09-28;2012-11-09;42;28;0
"182";"SARREGUEMINES";2012-10-02;2012-10-08;6;35;7
"183";"SARREGUEMINES";2012-10-02;2012-10-09;7;39;11
"184";"SARREGUEMINES";2012-10-02;2012-10-16;14;45;17
"185";"SAUMUR";2012-10-01;2012-10-26;25;28;0
"186";"SAUMUR";2012-10-01;2012-10-18;17;36;8
"187";"SAVERNE";2012-10-02;2012-10-12;10;57;29
