"id";"plaisir";"performance";"estime_soi";"anx_sociale";"anx_echouer";"anx_decevoir";"anx_separer"
"e144057";-0,341304264;1,0667709101;0,8019015791;-0,990462981;-1,187284869;-0,492865429;0,0869832457
"e03784";0,1878487685;1,2585937564;0,5681563094;0,7822184571;0,7566204264;-0,926710913;-1,051428909
"e092600";1,997994401;0,5271024521;-0,061344719;-0,781161981;-0,640916278;-1,143548547;-0,771797958
"e254340";-0,886402065;0,7824777027;-0,587459277;0,7453887365;0,8815030607;-0,7133139;1,3929284102
"e242058";-2,185899344;-2,315429893;0,5408886396;-0,770313898;-0,004966278;-1,144377123;-1,387450013
"e112407";0,9975230855;1,0378529534;-0,550123949;0,7995429067;0,7790970372;1,2369958811;-0,341929814
"e114921";-0,650102945;1,5160096314;0,6816104378;1,8677440698;-1,433403544;-1,358602712;2,1578625741
"e134492";1,4701213241;-0,496641866;-0,061344719;-0,990462981;0,2182467513;-0,279638632;-0,454027755
"e032311";-0,886402065;-1,489427603;-1,2989107;-0,763837531;0,6971855108;-0,055409109;0,2545162557
"e244919";0,6493943342;-0,752017117;1,2192407986;-0,102663344;-0,154736671;-0,282376995;-1,387450013
"e0159";-1,696076382;-0,72309916;-2,281295335;-0,990462981;-0,041924582;2,1043464178;1,4675694646
"e144132";-1,376225027;0,974300549;0,6228390343;0,9835892087;0,7257198641;0,366522653;0,1433733989
"e142448";-2,185899344;0,269686577;0,1938366266;0,3166655952;-1,687517135;-1,143548547;-0,864689914
"e08291";1,4798940416;0,0161492596;2,1586058971;-0,327911083;0,9645976916;0,1514684885;0,4230043498
"e181982";-0,903626789;0,269686577;0,8721887857;0,3159386547;-0,470651387;1,8901208289;-1,387450013
"e194223";-0,941676903;-1,232011728;-2,791658026;1,6403916801;-0,311702972;1,0227263953;-0,435776854
"e143670";-2,185899344;-1,1615772;-0,414228326;2,0987412346;1,9959627854;0,5753539359;1,0751582072
"e172933";0,395870491;1,7713848821;0,1938366266;2,2971941515;0,9348802338;1,6705009341;0,5158963054
"e031341";0,395870491;1,3221461608;1,4960056049;0,7634401266;-0,126202318;-1,358602712;0,3483632954
"e061153";-0,869177341;-0,721261227;0,829169249;0,7634401266;0,434647968;1,0245537619;1,7289495143
"e021944";0,1595713716;-0,30481902;-0,359545601;0,9893386353;NA;1,2366554504;0,4230043498
"e104909";0,1595713716;0,331198357;0,1665689568;-0,990462981;1,0107340177;-1,358602712;0,5158963054
"e143395";0,1595713716;-0,496641866;-0,739696878;0,1073645956;-0,679811757;-0,924757228;0,5158963054
"e153342";-0,632878221;0,5250618277;-0,408396732;-0,781161981;0,3515533371;0,1566925791;0,9265584639
"e071364";0,6321696103;0,5250618277;-0,316526064;-0,113511427;-0,687052604;-0,492036854;0,5158963054
"e15757";0,9790184061;0,4635500477;1,1762212619;-0,990462981;-0,725194013;0,7921915701;-1,387450013
"e183068";1,2165974809;-0,01460663;0,5408886396;2,0770450694;-0,687052604;0,5897094872;0,3483632954
"e041377";-0,396579102;0,0450672164;1,8545734209;0,0676170403;1,0404514755;1,8901208289;-0,341929814
"e101267";-0,187277424;-0,721261227;0,3618260947;-0,990462981;0,4583076833;-0,492036854;1,0386564049
"e203362";-1,894325387;-0,752017117;-0,034077049;-0,990462981;0,9360633383;1,2368256658;-0,00590871
"e182120";-0,105005145;0,5250618277;0,9210399164;0,1246890453;-0,663392888;0,1552056432;0,441255251
"e164695";-0,103725189;0,7496811883;-0,316526064;0,3339900448;-0,335362688;-0,492865429;1,6351024746
"e181940";0,594119496;-0,210308034;-0,663578077;-0,33438745;-0,633675431;-0,273245535;0,2545162557
"e27370";0,1312939748;0,0450672164;1,148953592;-0,990462981;-0,033929666;-0,708874488;-1,387450013
"e191313";-0,886402065;-0,752017117;-1,043729354;-0,990462981;0,9360633383;-0,930151534;-1,126069963
"e082497";0,1042965334;-0,496641866;-0,316526064;-0,113511427;-0,126202318;0,5924917479;0,7772763551
"e014388";0,8967461265;0,269686577;-0,316526064;-0,990462981;0,1423929674;-0,0564079;2,1578625741
"e094788";-0,076727748;-0,496641866;-0,951858687;-0,12508645;0,7421387324;1,2368256658;0,608788261
"e024062";-1,376225027;-0,216227216;-0,809984084;1,8677440698;1,0404514755;1,0172057709;1,8964825243
"e101094";-1,425327815;0,1812974647;NA;-0,990462981;1,9959627854;2,1043464178;-0,341929814
"e072529";-0,340024308;-2,315429893;-1,602943176;-0,781161981;-0,471834492;-0,274244326;1,0386564049
"e224693";-0,650102945;-1,802638767;-0,365377195;-0,769586958;1,2259521298;-0,709703064;1,1315483605
"e274352";NA;NA;NA;NA;NA;NA;NA
"e043598";-0,650102945;0,7496811883;-0,663578077;2,2971941515;1,4732539088;0,5924917479;0,5158963054
"e15949";0,384817818;0,7496811883;0,2368561633;1,8568959872;0,6747089;1,8875087836;-1,126069963
"e271810";0,0760191366;-1,775761435;-0,918759423;-0,781161981;-0,34142043;-0,276027795;-0,697156904
"e052573";1,4701213241;1,0378529534;1,827305751;0,9907925162;-0,397163812;-0,708874488;1,8964825243
"e15179";-0,396579102;-0,434927395;-0,967610553;-0,554536532;-0,924747327;NA;-1,126069963
"e18430";1,7064204435;1,262472314;1,4960056049;1,6475949876;0,6293266437;1,0227702923;2,4192426238
"e103156";0,1042965334;-1,063187656;0,8564369188;0,5368146774;1,9959627854;2,1043464178;2,4192426238
"e243445";-0,594828107;-1,51834556;1,507521408;-0,990462981;0,4583076833;0,1514684885;0,8701683107
"e021470";-0,650102945;0,0758231064;1,507521408;-0,990462981;-1,426162697;-1,143548547;-1,051428909
"e114783";0,8869734091;-0,719220602;-0,554802739;-0,990462981;0,660227206;2,1043464178;-1,387450013
"e094652";-1,932375501;0,269686577;-0,64782621;0,7634401266;0,7421387324;0,372871853;-0,697156904
"e033646";-1,442552538;-1,293726199;0,2699554273;-0,990462981;-0,172338644;-0,061802206;-1,387450013
"e251250";1,2608196461;0,753559746;1,9034245517;-0,153258982;1,0404514755;1,0252121222;1,0021546025
"e123420";-1,667798985;-1,264808242;-0,098680047;0,7814915167;1,9959627854;0,8031065004;-1,387450013
"e203136";-1,404502424;-1,234052352;0,5408886396;0,090040146;1,5182071304;1,4562753452;-0,864689914
"e242633";1,7616952817;1,4870916747;1,5232732748;0,3159386547;-1,172049106;-0,705137333;1,0386564049
"e092790";-1,894325387;0,7824777027;0,8564369188;1,6403916801;0,0974397458;1,2369958811;2,0832215197
"e234966";0,1767960955;-0,494601242;-0,788548009;-0,770313898;1,7346083471;0,801981391;-1,051428909
"e202438";-0,650102945;1,7713848821;0,6816104378;-0,543688449;-0,912631842;0,1604736308;1,0386564049
"e091759";0,395870491;-1,009432992;-0,64782621;0,5432910444;-0,394797603;0,3683061227;-0,174396804
"e214809";-0,105005145;-0,752017117;-1,554092045;1,6403916801;0,1363352249;0,5924917479;0,1798752013
"e191145";0,395870491;0,0450672164;0,5251367727;-0,781161981;-0,394797603;-0,923928652;1,0751582072
"e213042";NA;NA;NA;NA;NA;NA;NA
"e053228";-0,594828107;-0,496641866;-0,967610553;-0,990462981;-0,065584298;0,1550354278;0,2362653545
"e254894";0,395870491;-0,210308034;-1,043729354;-0,990462981;1,1737580612;0,8047636517;0,7772763551
"e12462";-0,859404623;-0,496641866;1,5505409447;-0,990462981;0,912403623;1,8847265229;2,4192426238
"e254817";0,6874444485;1,231716424;0,9640594531;1,1936171488;-0,81799298;0,5825317116;0,0687323445
"e224732";0,8856934535;0,0450672164;-0,994878223;-0,990462981;0,6498660802;0,1540805338;0,0869832457
"e252702";0,395870491;-0,01460663;NA;-0,560285958;1,2259521298;NA;0,1981261024
"e093387";1,4148464859;-1,835435282;0,0032582787;-0,781161981;1,5182071304;-1,358602712;2,1578625741
"e113572";0,594119496;-0,210308034;-0,11019585;0,0791920634;0,6971855108;0,1532519582;0,608788261
"e072389";0,6714996802;-1,00351381;-0,620558541;2,5173432337;1,7570849579;0,3767792231;1,0751582072
"e243750";0,4511453292;1,262472314;0,8449211158;-0,112784487;-1,694757982;0,3800935257;-0,341929814
"e11317";-0,650102945;-1,007392367;-0,951858687;-0,113511427;0,1210994611;0,3754838983;1,3929284102
"e051251";0,6493943342;0,269686577;1,1762212619;0,2942424895;1,2496118452;-0,28042331;-0,342884898
"e094711";-2,185899344;-0,752017117;0,4548495662;-0,990462981;-1,472299023;-0,27863984;-1,387450013
