"id";"sexe";"age3e";"retard";"secteur";"acad"
"e101005";"M";14,635616438;2;"pu";10
"e10102";"2";14,336986301;2;"pr";10
"e101032";"1";15,128767123;2;"pu";10
"e101033";"1";14,265753425;2;"pr";10
"e101039";"2";14,452054795;2;"pu";10
"e101094";"M";15,498630137;1;"pu";10
"e101112";"1";14,736986301;2;"pu";10
"e101157";"1";16,978082192;1;"pu";10
"e101201";"1";16,232876712;1;"pu";10
"e101206";"2";14,980821918;2;"pr";10
"e101209";"1";15,619178082;1;"pr";10
"e101264";"2";14,991780822;2;"pu";10
"e101265";"2";16,487671233;1;"pr";10
"e101267";"2";15,991780822;1;"pu";10
"e101326";"2";14,726027397;2;"pr";10
"e101329";"1";14,671232877;2;"pu";10
"e101332";"1";14,621917808;2;"pu";10
"e101395";"1";15,652054795;1;"pr";10
"e101401";"2";15,824657534;1;"pr";10
"e101421";"1";15,235616438;2;"pu";10
"e101434";"1";15,657534247;1;"pu";10
"e101479";"2";14,517808219;2;"pu";10
"e101529";"1";15,254794521;2;"pu";10
"e101550";"1";15,994520548;1;"pu";10
"e10158";"1";14,345205479;2;"pu";10
"e101589";"2";14,909589041;2;"pr";10
"e101606";"2";15,701369863;1;"pu";10
"e101607";"2";14,619178082;2;"pu";10
"e101662";"2";15,419178082;1;"pu";10
"e101682";"1";14,64109589;2;"pu";10
"e101748";"2";13,734246575;2;"pu";10
"e10178";"2";14,871232877;2;"pu";10
"e101793";"1";16,312328767;1;"pu";10
"e101818";"1";15,405479452;1;"pu";10
"e101829";"1";14,556164384;2;"pr";10
"e101846";"1";15,739726027;1;"pu";10
"e101850";"2";14,895890411;2;"pu";10
"e101876";"2";14,983561644;2;"pu";10
"e101888";"2";15,394520548;1;"pu";10
"e101903";"2";15,895890411;1;"pr";10
"e101951";"1";16,219178082;1;"pr";10
"e101969";"2";14,657534247;2;"pu";10
"e102065";"1";15,520547945;1;"pu";10
"e102133";"2";14,44109589;2;"pu";10
"e102155";"2";14,41369863;2;"pu";10
"e102208";"2";14,890410959;2;"pu";10
"e102236";"2";14,383561644;2;"pr";10
"e102266";"2";16,734246575;1;"pu";10
"e102271";"1";14,931506849;2;"pr";10
"e102295";"2";15,071232877;2;"pu";10
"e102321";"M";15,761643836;1;"pr";10
"e102377";"2";15,416438356;1;"pu";10
"e102390";"2";15,556164384;1;"pr";10
"e102397";"2";16,232876712;1;"pu";10
"e102414";"1";14,37260274;2;"pu";10
"e102419";"1";15,410958904;1;"pu";10
"e102421";"1";16,312328767;1;"pu";10
"e102449";"2";15,531506849;1;"pu";10
"e102479";"2";14,676712329;2;"pr";10
"e102597";"2";14,482191781;2;"pu";10
"e102605";"2";15,18630137;2;"pu";10
"e102613";"1";14,704109589;2;"pu";10
"e102618";"M";15,389041096;1;"pu";10
"e102628";"1";15,98630137;1;"pr";10
"e102639";"2";15,019178082;2;"pr";10
"e102648";"1";15,136986301;2;"pu";10
"e102667";"2";14,553424658;2;"pu";10
"e102670";"2";14,860273973;2;"pr";10
"e102691";"2";15,016438356;2;"pu";10
"e102697";"1";16,139726027;1;"pr";10
"e102709";"1";14,849315068;2;"pu";10
"e102714";"1";14,747945205;2;"pu";10
"e10273";"2";14,797260274;2;"pr";10
"e102734";"1";15,15890411;2;"pu";10
"e102739";"2";13,720547945;2;"pu";10
"e102861";"1";16,134246575;1;"pu";10
"e10292";"1";15,589041096;1;"pu";10
"e102926";"2";15,2;2;"pr";10
"e102931";"2";15,076712329;2;"pu";10
"e102940";"2";15,219178082;2;"pr";10
"e102957";"1";14,55890411;2;"pu";10
"e103006";"2";16,142465753;1;"pu";10
"e10301";"1";14,301369863;2;"pu";10
"e103011";"2";14,62739726;2;"pu";10
"e103025";"1";14,791780822;2;"pr";10
"e103064";"1";15,15890411;2;"pu";10
"e103082";"2";15,624657534;1;"pu";10
"e103102";"1";14,789041096;2;"pr";10
"e103104";"1";16,052054795;1;"pr";10
"e103153";"2";15,254794521;2;"pr";10
"e103156";"2";15,939726027;1;"pu";10
"e103173";"1";15,180821918;2;"pu";10
"e103245";"2";14,745205479;2;"pu";10
"e103258";"M";14,654794521;2;"pr";10
"e103271";"2";15,575342466;1;"pu";10
"e103285";"2";14,783561644;2;"pr";10
"e103290";"2";14,191780822;2;"pr";10
"e103301";"2";14,487671233;2;"pu";10
"e103308";"1";14,838356164;2;"pu";10
"e103313";"2";14,657534247;2;"pu";10
"e103323";"2";14,75890411;2;"pu";10
"e103331";"2";14,810958904;2;"pu";10
"e103349";"2";15,052054795;2;"pu";10
"e103350";"1";15,301369863;1;"pu";10
"e103361";"1";14,931506849;2;"pr";10
"e103386";"1";14,824657534;2;"pr";10
"e103394";"2";14,597260274;2;"pu";10
"e103411";"1";15,153424658;2;"pu";10
"e103463";"2";14,975342466;2;"pu";10
"e103502";"1";16,15890411;1;"pu";10
"e103508";"1";14,819178082;2;"pu";10
"e103525";"2";15,405479452;1;"pu";10
"e103531";"1";15,819178082;1;"pu";10
"e103562";"1";15,906849315;1;"pu";10
"e103566";"2";14,380821918;2;"pu";10
"e103590";"2";14,471232877;2;"pr";10
"e10361";"1";14,967123288;2;"pr";10
"e103645";"1";15,37260274;1;"pr";10
"e103653";"2";14,717808219;2;"pu";10
"e103694";"2";15,356164384;1;"pu";10
"e103723";"1";15,301369863;1;"pr";10
"e103724";"2";14,742465753;2;"pu";10
"e103767";"2";14,909589041;2;"pu";10
"e103819";"2";15,726027397;1;"pr";10
"e103861";"1";15,906849315;1;"pu";10
"e103875";"1";14,98630137;2;"pu";10
"e103882";"1";NA;2;"pu";10
"e103887";"2";13,843835616;2;"pr";10
"e103895";"1";14,323287671;2;"pu";10
"e103931";"1";15,652054795;1;"pu";10
"e103936";"1";13,205479452;2;"pu";10
"e103963";"2";14,569863014;2;"pu";10
"e103992";"1";15,887671233;1;"pu";10
"e104009";"1";15,654794521;1;"pu";10
"e104014";"1";14,487671233;2;"pu";10
"e104053";"2";14,520547945;2;"pr";10
"e104072";"2";14,561643836;2;"pr";10
"e104079";"2";14,616438356;2;"pr";10
"e10410";"2";14,904109589;2;"pu";10
"e104105";"2";15,728767123;1;"pu";10
"e104112";"2";15,761643836;1;"pu";10
"e104160";"1";14,44109589;2;"pr";10
"e104190";"1";16,071232877;1;"pr";10
"e104196";"2";14,906849315;2;"pu";10
"e104210";"1";16,005479452;1;"pu";10
"e104226";"2";14,260273973;2;"pu";10
"e104285";"1";15,147945205;2;"pu";10
"e104332";"1";15,032876712;2;"pu";10
"e104350";"2";14,624657534;2;"pu";10
