"id";"score"
"e101005";229,49850034
"e10102";292,2727986
"e101032";272,66145411
"e101033";283,72569502
"e101039";222,96102685
"e101094";260,12122788
"e101112";318,60942116
"e101157";173,32713146
"e101201";266,81947178
"e101206";201,87661118
"e101209";213,38137915
"e101264";242,24840956
"e101265";226,36885735
"e101267";187,87712227
"e101326";213,4488525
"e101329";197,37006335
"e101332";276,27291516
"e101395";229,44577697
"e101401";215,88735312
"e101421";258,95508202
"e101434";290,40797844
"e101479";239,87321285
"e101529";248,28913567
"e101550";171,55009392
"e10158";214,28018704
"e101589";289,65761194
"e101606";253,88144415
"e101607";253,14192718
"e101662";189,21399142
"e101682";306,68604938
"e101748";285,62091181
"e10178";319,5799167
"e101793";220,56888335
"e101818";207,48062102
"e101829";232,03742642
"e101846";201,12938297
"e101850";271,98192342
"e101876";235,01858319
"e101888";244,3867546
"e101903";284,31062851
"e101951";220,62510368
"e101969";222,42056749
"e102065";243,06077982
"e102133";244,78670797
"e102155";230,27020726
"e102208";238,74006393
"e102236";270,71732474
"e102266";243,12466656
"e102271";319,318138
"e102295";347,37880574
"e102321";205,96455519
"e102377";271,40945344
"e102390";206,98938808
"e102397";187,3355421
"e102414";229,9107379
"e102419";174,5509323
"e102421";279,08379698
"e102449";235,36733751
"e102479";436,06235997
"e102597";283,84683324
"e102605";225,26771904
"e102613";188,1527543
"e102618";296,60956463
"e102628";254,27803507
"e102639";285,71362603
"e102648";281,09481688
"e102667";255,25422437
"e102670";306,92397703
"e102691";334,5760835
"e102697";250,88495456
"e102709";185,73994288
"e102714";268,79453578
"e10273";369,68549794
"e102734";354,76832653
"e102739";322,7344419
"e102861";254,71147854
"e10292";182,69319573
"e102926";302,96228217
"e102931";247,25919184
"e102940";239,18377411
"e102957";237,19207715
"e103006";252,3140896
"e10301";314,50565117
"e103011";314,26099861
"e103025";376,38607314
"e103064";246,37881023
"e103082";222,02908752
"e103102";309,43959005
"e103104";254,24638311
"e103153";215,4683458
"e103156";242,11776679
"e103173";320,61071235
"e103245";296,96011226
"e103258";216,30954356
"e103271";220,59605202
"e103285";258,30168885
"e103290";249,91589367
"e103301";307,15293812
"e103308";235,49318317
"e103313";279,69854428
"e103323";261,72669031
"e103331";196,87963739
"e103349";425,40360725
"e103350";142,85163483
"e103361";255,84009935
"e103386";345,90412058
"e103394";206,37065066
"e103411";299,92737087
"e103463";251,89692044
"e103502";197,97799606
"e103508";296,91949375
"e103525";291,77228526
"e103531";175,40602822
"e103562";203,80984618
"e103566";276,46027142
"e103590";272,42428862
"e10361";311,46145949
"e103645";203,91471009
"e103653";242,57636146
"e103694";262,09400541
"e103723";223,43656832
"e103724";298,51751393
"e103767";250,65428983
"e103819";157,32671003
"e103861";221,46679459
"e103875";350,7429691
"e103882";289,6775177
"e103887";273,37931684
"e103895";220,90710196
"e103931";234,90009011
"e103936";353,77846322
"e103963";313,29668999
"e103992";287,62717943
"e104009";159,84783749
"e104014";183,83531121
"e104053";344,48444526
"e104072";342,55936983
"e104079";242,5482513
"e10410";311,30257206
"e104105";210,14055082
"e104112";193,7777459
"e104160";242,21581611
"e104190";299,69504732
"e104196";273,79307871
"e104210";199,87567866
"e104226";272,01155789
"e104285";336,27865376
"e104332";166,84296417
"e104350";228,07541773
"e104353";250,06070361
"e104362";337,54168329
"e104375";183,11964528
"e104398";344,23647507
"e104450";299,57045698
"e104459";229,50047299
"e104467";293,91722073
"e104480";272,3168244
"e104483";124,65144743
"e104486";254,11887864
"e10449";202,71861592
"e104497";243,88547911
"e104506";247,45771147
"e104509";165,23445311
"e104523";275,07816598
"e104568";212,75788945
"e104593";247,5408763
"e104641";237,11895486
"e104663";305,50120824
"e104698";228,03511305
"e104707";275,15859602
"e104713";256,77983959
"e104724";224,14909595
"e104736";335,76729089
"e104737";290,37502634
"e104771";301,37488736
"e10482";246,78701284
"e10483";280,58820628
"e104845";279,1099345
"e104890";310,3730537
"e10490";245,19222061
"e104906";212,52475891
"e104909";297,84233202
"e104914";237,61991652
"e104925";216,30456712
"e104935";235,61306607
"e104969";231,9940731
"e10513";179,13804466
"e10578";213,20666574
"e10619";331,36309633
"e1065";315,63633429
"e10702";185,49914594
"e10707";360,58470933
"e10726";237,74477586
"e10785";300,00103115
"e10792";265,35837096
"e10797";311,0597128
"e10809";255,84668977
"e10818";309,73432085
"e10874";267,17486135
"e10900";266,35661799
"e10927";261,75614546
"e10959";308,62363316
"e10961";270,49316076
"e10987";179,29347997
"e011041";114,88771626
"e011043";284,44709954
"e011060";214,10211118
"e011063";242,79438335
"e111003";161,44688883
"e111038";198,03735469
"e111056";256,99154005
"e111057";255,98347463
"e1111";192,43809712
"e111179";277,49407086
"e111185";181,99600091
"e111205";285,13160667
"e111230";250,42474591
"e111269";186,31595465
"e11128";215,23929505
"e111294";256,38965976
"e111303";187,56535501
"e111365";227,7854392
"e111367";187,12890774
"e111392";317,35145774
"e111406";228,27124738
"e111414";181,9583862
"e111451";268,67868783
"e111456";308,93100681
"e111492";188,95481302
"e111521";211,73879516
"e111530";179,45156041
"e111545";147,59099937
"e111574";340,56812119
"e011159";187,36257627
"e111609";216,54101528
"e111615";223,65615935
"e111644";248,45864847
"e111673";188,09599598
"e111755";227,25753303
"e11177";200,08858961
"e011177";329,72203666
"e111791";198,44869559
"e111834";259,18108415
"e011192";300,18116933
"e111930";247,40714007
"e111954";209,22605144
"e111986";252,65029074
"e111989";279,9055373
"e112004";231,2040744
"e112021";255,52120367
"e112030";238,65259515
"e112053";232,59770187
"e112067";225,50394304
"e112073";260,70163326
"e112111";248,57171678
"e11213";212,44370122
"e112138";279,70809366
"e112143";256,91079619
"e112152";216,1919023
"e112177";208,95315421
"e011220";274,01796002
"e112216";172,39564046
"e011222";259,44689779
"e112221";156,86067312
"e112231";153,71892527
"e112261";258,13679383
"e112287";213,82248903
"e112293";155,99531049
"e1123";302,63267145
"e112319";259,68280797
"e112325";193,48063896
"e011233";176,55356847
"e112340";313,25777513
"e11236";210,85280945
"e011236";281,72041372
"e11238";229,86855024
"e112380";92,285262115
"e112405";174,20334363
"e112407";205,62180847
"e112424";250,94422352
"e11243";231,88768488
"e011247";188,22610076
"e112513";326,24516366
"e112532";252,09691954
"e112540";341,85944022
"e011257";267,38562033
"e112576";181,41205375
"e112654";217,89321725
"e11266";304,27314829
"e011268";241,09741718
"e112683";253,6964192
"e112692";245,70004169
"e112718";393,55775137
"e112728";274,28727062
"e112741";258,91885712
"e112742";167,52271902
"e112744";186,41073118
"e112762";214,22203891
"e112780";198,79776374
"e112819";274,59361312
"e112820";358,16257269
"e112838";234,22374255
"e112849";338,52208688
"e112859";211,70472224
"e112871";325,61459039
"e112923";232,9766735
"e112955";297,24619033
"e011296";309,29518361
"e011298";286,64619302
"e112981";228,8015297
"e011299";202,26558052
"e113";236,25265074
"e1130";320,18363513
"e113003";264,6705462
"e113103";264,57052423
"e113110";299,85420375
"e113134";213,93524351
"e113159";224,3087007
"e11317";193,88471695
"e113201";164,86296856
"e113230";202,22047872
"e113287";288,50446759
"e113365";156,230862
"e113368";253,50534183
"e113403";165,66691026
"e113405";311,36166168
"e113418";336,69268463
"e113474";224,44651672
"e113479";257,92442087
"e113503";295,56339133
"e113534";173,59872854
"e113555";250,14032665
"e011356";302,89942659
"e113572";265,3882296
"e113615";245,92559549
"e113664";280,58358851
"e113679";208,17158408
"e113778";325,99912128
"e113784";281,07890124
"e113808";231,49799822
"e113825";245,94227329
"e113858";229,73382769
"e011387";413,52753406
"e011388";148,25851487
"e113897";161,2102165
"e113901";188,79762924
"e113929";207,93639123
"e113947";283,80751487
"e113964";199,54373663
"e113988";217,84726363
"e114013";187,02175736
"e114033";209,45286056
"e114059";252,98676088
"e114074";240,9124819
"e114096";194,58191176
"e114128";223,75174287
"e114162";268,68689224
"e114176";189,44501482
"e114193";272,44903632
"e114224";237,3046523
"e114253";228,9655729
"e114294";203,89350418
"e114349";244,7231799
"e114382";292,29718764
"e114420";213,76671703
"e114441";217,3321348
"e114462";204,15990065
"e114522";312,5371776
"e114528";217,78068693
"e114530";316,42158071
"e114555";349,93284047
"e114578";200,1226177
"e114587";282,09696437
"e114622";222,82854594
"e114631";202,39900292
"e114640";269,20542835
"e114643";258,54199264
"e011465";244,23517492
"e114721";270,34431587
"e114727";391,66509005
"e114729";201,67410144
"e114735";270,13687453
"e114783";237,17737199
"e114800";254,46965044
"e11484";245,60136471
"e114860";158,04618675
"e114921";270,27289723
"e011495";245,22687636
"e114968";164,21280335
"e114994";232,20640123
"e11502";243,2068899
"e011505";224,02123281
"e11518";210,33373533
"e11524";241,21963138
"e011525";254,18487252
"e11530";263,54914347
"e1154";273,76160609
"e11542";356,09560145
"e11559";185,97764637
"e011560";278,05170118
"e011581";236,0830931
"e11587";330,78430493
"e11590";267,79561625
"e11593";338,09891011
"e011595";386,22081945
"e1161";277,79862005
"e1162";321,81034831
"e011621";230,81577756
"e11626";239,80058372
"e011627";266,04103994
"e11630";295,80252947
"e011671";267,12819041
"e11673";209,0210759
"e11675";361,82940224
"e011689";334,71358568
"e0117";297,93298394
"e011703";292,54878929
"e011704";241,77067128
"e11720";238,20745031
"e011720";197,03292072
"e011732";293,92026936
"e011772";245,50134274
"e11789";212,32686695
"e011800";285,36917566
"e011809";295,83920269
"e011825";254,31901224
"e011827";236,37903439
"e11835";168,12190934
"e11837";197,5326719
"e01184";206,18701553
"e011869";369,31141308
"e11879";272,41617388
"e011884";173,82970711
"e1189";273,52062981
"e11923";353,50543149
"e11940";278,03681669
"e11943";230,32095799
"e01195";367,53850016
"e11979";306,2195193
"e011984";324,19944318
"e012000";291,73727085
"e012014";293,21558747
"e012024";346,5895692
"e012035";200,16332588
"e012041";254,06637944
"e012047";198,26447763
"e012048";338,38023591
"e012062";226,13778912
"e012074";308,2919153
"e012095";286,02897992
"e121010";329,82259663
"e121021";230,34584019
"e121037";244,19011796
"e121051";296,53958063
"e121062";259,31441688
"e121071";183,14340666
"e121080";186,5705601
"e12110";304,36635568
"e121127";207,06452784
"e121132";256,32563853
"e121141";252,07217184
"e121154";308,47339846
"e121165";260,16870581
"e121171";247,85098475
"e12126";301,13247643
"e12127";233,01339156
"e121277";240,78762256
"e121285";355,75966931
"e121289";168,0141313
"e012129";351,47903394
"e121318";221,16605619
"e121333";227,00207576
"e121347";241,42886604
"e121352";226,8736298
"e12136";185,98880973
"e121370";217,98633496
