"PERIODE";"Senti";"Sais_2014_2015";"Sais_2013_2014";"Sais_2012_2013";"Sais_2011_2012";"Sais_2010_2011";"Sais_2009_2010";"Sais_2008_2009";"Loc_Reg11";"Loc_Reg21";"Loc_Reg22";"Loc_Reg23";"Loc_Reg24";"Loc_Reg25";"Loc_Reg26";"Loc_Reg31";"Loc_Reg41";"Loc_Reg42";"Loc_Reg43";"Loc_Reg52";"Loc_Reg53";"Loc_Reg54";"Loc_Reg72";"Loc_Reg73";"Loc_Reg74";"Loc_Reg82";"Loc_Reg83";"Loc_Reg91";"Loc_Reg93";"Loc_Reg94";"MIN_Saison";"MAX_Saison";"IN_Def";"IN_Temp"
"01-09-2015";NA;407;316;243;218;192;147;NA;368,02;394,085;274,07;338,685;482,81;354,07;466,79;320,42;450,425;342,945;401,805;421,42;408,505;387,29;284,77;379,12;305,95;335,56;298,05;384,53;402,41;NA;147;407;375,4;NA
"02-09-2015";NA;397;319;249;222;192;148;NA;354,54;373,975;269,62;334,22;477,7;343,005;421,83;323,34;432,275;313,215;390,115;441,175;399,705;387,305;285,36;377,43;319,42;326,765;297,88;394,775;394,62;NA;148;397;370,1;NA
"03-09-2015";NA;389;325;258;223;189;149;NA;352,22;341,675;269,95;323,785;467,01;324,705;392,64;330,57;420,72;325,88;400,415;455,04;394,765;387,965;284,71;372,73;331,95;323,04;307,4;393,88;383,8;NA;149;389;366,1;NA
"04-09-2015";NA;385;331;264;225;190;151;NA;354,3;314,6;274,33;316,795;461,91;316,36;373,73;334,155;402,23;363,525;402,415;466,01;388,59;390,375;281,9;355,93;337,4;315,685;316,65;389,975;380,55;NA;151;385;363,2;NA
"05-09-2015";NA;386;334;272;228;189;153;NA;348,13;303,975;270,04;308,115;454,11;312,37;371,52;345,105;404,595;428,72;409,535;472,665;390,03;381,075;285,81;348,84;351,37;313,07;328,16;390,49;380,54;NA;153;386;363,3;NA
"06-09-2015";NA;394;336;279;230;190;155;NA;346,68;307,495;267,2;301,705;445,87;323,135;391,46;352,775;413,115;504,535;431,385;467,335;395,07;366,61;293,7;346,42;367,24;310,795;331,16;385,37;381,2;NA;155;394;362,9;NA
"07-09-2015";NA;400;338;282;232;191;155;NA;343,49;312,46;263,86;302,265;438,7;343,4;401,43;362,66;426,175;483,125;454,23;466,57;399,965;347,665;302,21;344,83;379,95;312,765;339,94;375,7;377,09;NA;155;400;362,6;NA
"08-09-2015";NA;406;339;284;236;193;155;NA;346,94;319,6;269,99;299,8;441,29;353,485;430,92;372,155;439,08;474,295;473,6;450,535;398,99;333,735;308,35;340,17;386,11;308,175;344,73;364,09;360,7;NA;155;406;361,6;NA
"09-09-2015";NA;408;338;286;239;195;152;NA;352,63;331,255;271,81;294,51;446,07;361,755;469,43;392,375;448,375;469,3;480,555;439,165;401,085;330,125;319,03;337,46;388,83;309,605;354,35;351,755;355,83;NA;152;408;363,7;NA
"10-09-2015";NA;409;336;286;242;196;150;NA;352,46;330,875;274,92;284,64;448,33;381,405;500,88;408,695;468,01;464,18;488,7;428,5;397,755;329,205;328,08;333,97;383,29;316,66;361,1;339,365;360,93;NA;150;409;367,4;NA
