"PERIODE";"Senti";"Sais_2014_2015";"Sais_2013_2014";"Sais_2012_2013";"Sais_2011_2012";"Sais_2010_2011";"Sais_2009_2010";"Sais_2008_2009";"Sais_2007_2008";"Loc_Reg11";"Loc_Reg21";"Loc_Reg22";"Loc_Reg23";"Loc_Reg24";"Loc_Reg25";"Loc_Reg26";"Loc_Reg31";"Loc_Reg41";"Loc_Reg42";"Loc_Reg43";"Loc_Reg52";"Loc_Reg53";"Loc_Reg54";"Loc_Reg72";"Loc_Reg73";"Loc_Reg74";"Loc_Reg82";"Loc_Reg83";"Loc_Reg91";"Loc_Reg93";"Loc_Reg94";"MIN_Saison";"MAX_Saison";"IN_Def";"IN_Temp"
"01-09-2015";0,428571428571429;0,707912259530565;0,637303214535457;0,707749154942891;0,719637046252954;0,878307689270849;6,5410683178579;NA;NA;0,42;0,38;0,16;0,68;1,27;0,29;0,93;0,44;0,805;0,44;0,195;0,85;1,975;0,9;1,3;2,13;2,06;2,44;0,82;0,21;0,41;15,095;0,637303214535457;6,5410683178579;0,742567486368438;NA
"02-09-2015";0,428571428571429;0,775395589199157;0,665969370148997;0,747362872131055;0,766206314721349;0,921833698607346;7,52708080677026;NA;NA;0,5;0,4;0,16;0,835;1,48;0,28;1,18;0,525;0,99;0,63;0,19;0,935;1,88;0,9;1,11;1,83;2,1;2,555;0,79;0,27;0,37;15,67;0,665969370148997;7,52708080677026;0,792808898824633;NA
"03-09-2015";0,428571428571429;0,839569709345347;0,704719402439999;0,793915007767597;0,808126270856766;0,977967593525402;8,77273632737846;NA;NA;0,57;0,395;0,17;1,08;1,68;0,32;1,28;0,55;1,19;0,925;0,165;1,11;1,91;1,075;1,02;1,67;2,2;2,53;0,79;0,29;0,37;11,655;0,704719402439999;8,77273632737846;0,858945130353018;NA
"04-09-2015";0,428571428571429;0,896203835997426;0,751668759697984;0,844925635571142;0,850588628548719;1,04142083461464;10,309189893277;NA;NA;0,63;0,44;0,2;1,385;2,05;0,5;1,19;0,61;1,535;1,295;0,15;1,36;2,025;1,375;1,07;1,51;2,3;2,44;0,85;0,39;0,39;5,96;0,751668759697984;10,309189893277;0,943928633835481;NA
"05-09-2015";0,428571428571429;0,941015781843609;0,804881739315606;0,904930907002413;0,892677717825911;1,09468153237792;12,1161759192018;NA;NA;0,68;0,495;0,25;1,75;2,63;0,73;1,07;0,71;1,915;1,73;0,14;1,665;2,395;1,685;1,05;1,46;2,33;2,37;0,96;0,51;0,41;1,92;0,804881739315606;12,1161759192018;1,04038118736179;NA
"06-09-2015";0,428571428571429;0,977836931793227;0,872249097656897;0,97120966530374;0,930034147140618;1,1207125534754;14,229116295035;NA;NA;0,69;0,55;0,37;1,945;3,19;1,25;0,98;0,835;1,95;2,14;0,13;1,89;3,02;1,915;1,06;1,44;2,19;2,275;0,99;0,7;0,49;0,38;0,872249097656897;14,229116295035;1,13607811501618;NA
"07-09-2015";2;1,01179268029808;0,946676508553188;1,03282387993633;0,977219304515491;1,13852235214789;16,5461945306092;NA;NA;0,68;0,62;0,51;1,835;3,52;2,095;0,93;0,98;2,01;2,27;0,14;2,06;3,71;2,095;1,17;1,5;1,98;2,13;1,03;0,94;0,62;0,05;0,946676508553188;16,5461945306092;1,21853259935395;NA
"08-09-2015";2;1,03676353996423;1,01707414395916;1,08799713934058;1,05302768031506;1,16778621817763;18,96631009924;NA;NA;0,65;0,67;0,65;1,72;3,62;3,02;0,9;1,14;1,59;2,36;0,14;2,225;4,685;1,96;1,41;1,54;1,82;2,005;1,03;0,99;0,78;0;1,01707414395916;18,96631009924;1,2843115105916;NA
"09-09-2015";2;1,06154246660475;1,0791848347307;1,14845469775377;1,165872128798;1,20828278283117;21,9010458301131;NA;NA;0,6;0,745;0,82;1,665;3,51;4,005;0,93;1,315;1,255;2,29;0,155;2,445;5,665;1,97;1,79;1,75;1,8;1,955;1,07;1;0,92;0;1,06154246660475;21,9010458301131;1,34981371132282;NA
"10-09-2015";2;1,10123996131848;1,12712220369149;1,21973735750986;1,30122887275534;1,28206071897721;25,768881563698;NA;NA;0,57;0,895;0,97;1,43;3,16;4,385;0,93;1,425;1,23;2,12;0,18;2,61;6,63;1,775;2,21;1,78;1,94;1,97;1,06;0,94;1,01;0;1,10123996131848;25,768881563698;1,41855992971761;NA
