"PERIODE";"Senti";"Sais_2014_2015";"Sais_2013_2014";"Sais_2012_2013";"Sais_2011_2012";"Sais_2010_2011";"Sais_2009_2010";"Sais_2008_2009";"Loc_Reg11";"Loc_Reg21";"Loc_Reg22";"Loc_Reg23";"Loc_Reg24";"Loc_Reg25";"Loc_Reg26";"Loc_Reg31";"Loc_Reg41";"Loc_Reg42";"Loc_Reg43";"Loc_Reg52";"Loc_Reg53";"Loc_Reg54";"Loc_Reg72";"Loc_Reg73";"Loc_Reg74";"Loc_Reg82";"Loc_Reg83";"Loc_Reg91";"Loc_Reg93";"Loc_Reg94";"MIN_Saison";"MAX_Saison";"IN_Def";"IN_Temp"
"01-09-2015";NA;100,4;99,4;99;95,7;94,6;NA;NA;97,32;90,855;95,01;103,49;96,54;101,83;96,04;95,2;88,27;85,05;91,165;102,765;102,89;100,51;102,07;98,53;100,54;123,785;98,43;96,8;96,28;91,15;94,6;100,4;98,3;NA
"02-09-2015";NA;100,4;99,3;98,5;95,3;94,5;NA;NA;96,96;90,61;94,81;103,45;96,24;101,375;95,86;95,31;88,195;84,915;90,385;102,3;102,84;100,435;102,18;98,11;100,26;122,585;97,99;96,405;96;90,795;94,5;100,4;98;NA
"03-09-2015";NA;100,3;99,2;98,3;94,7;94,2;NA;NA;96,5;90,18;94,53;103,17;95,91;100,7;95,46;95,525;88,08;84,985;89,55;101,82;102,465;100,515;102,59;98,1;99,88;120,4;97,42;96,295;96,04;91,77;94,2;100,3;97,7;NA
"04-09-2015";NA;100,1;98,9;98,2;94;93,9;NA;NA;96,07;89,78;94,02;102,53;95,59;99,915;94,83;95,705;87,885;85,155;88,775;101,365;102,135;100,8;103,08;98,52;99,61;119,19;96,91;96,5;96,03;93,47;93,9;100,1;97,5;NA
"05-09-2015";NA;100;98,5;98,2;93,6;93,4;NA;NA;95,69;89,41;93,64;101,87;95,23;99,21;93,92;95,755;87,98;85,465;88,395;101,005;102,065;101,155;103,71;99,14;99,5;118,51;96,59;96,925;96,34;95,29;93,4;100;97,4;NA
"06-09-2015";NA;99,9;98,1;98,3;93,5;93;NA;NA;95,54;89,2;93,49;101,235;95,04;98,81;93,32;96,035;88,36;86,205;88,35;100,95;102,375;101,645;104,47;100,1;99,5;117,32;96,56;97,595;96,68;97,03;93;99,9;97,5;NA
"07-09-2015";NA;100;97,6;98,3;93,6;92,8;NA;NA;95,49;89,24;93,66;100,835;95,19;98,66;92,94;96,31;89;87,105;88,6;101,21;102,905;102,33;105,41;101,13;99,77;116,965;96,78;98,36;97,13;98,39;92,8;100;97,9;NA
"08-09-2015";NA;100,2;97,3;98,3;93,7;92,9;NA;NA;95,59;89,385;94,02;100,675;95,65;99,02;92,77;96,84;89,96;88,05;88,92;101,8;103,53;103,035;106,23;102,15;100,26;116,715;97,24;99,165;97,72;99,155;92,9;100,2;98,3;NA
"09-09-2015";NA;100,7;97,1;98,4;94;93,3;NA;NA;95,94;89,875;94,47;100,47;96,07;99,545;92,82;97,545;90,76;89,035;89,305;102,295;103,92;103,57;106,88;103,04;100,8;116,8;97,73;99,96;98,4;99,425;93,3;100,7;98,8;NA
"10-09-2015";NA;101,1;97,1;98,7;94,3;93,8;NA;NA;96,38;90,435;95,11;100,325;96,16;99,985;93,12;98,245;91,55;89,795;89,665;102,505;104,03;103,935;107,27;103,59;101,25;116,715;98,31;100,865;98,9;99,295;93,8;101,1;99;NA
"11-09-2015";NA;101,5;97,3;99,1;95;94,4;NA;NA;96,83;91,48;95,52;100,245;96,1;100,32;93,71;98,9;92,155;90,495;89,895;102,41;103,72;104;107,4;103,84;101,84;116,03;98,94;101,805;99,15;99,015;94,4;101,5;99,2;NA
"12-09-2015";NA;102;97,5;99,5;95,7;95;NA;NA;97,14;92,54;95,73;100,07;95,96;100,49;94,39;99,185;92,75;91,04;90,28;102,005;103,12;103,785;107,38;103,86;102,24;115,05;99,33;102,455;99,09;98,48;95;102;99,2;NA
"13-09-2015";NA;102,2;97,9;100;96,5;95,8;NA;NA;97,36;93,445;95,6;99,98;96;100,64;94,79;99,245;93,3;91,89;90,89;101,685;102,51;103,77;107,31;103,86;102,68;113,505;99,69;102,865;99,04;97,605;95,8;102,2;99,2;NA
"14-09-2015";NA;102,4;98,2;100,5;97,2;96,5;NA;NA;97,52;94,13;95,65;100,12;96,26;101,195;95,05;99,195;93,73;92,67;91,74;101,14;101,945;103,57;107,24;103,94;103,13;112,46;100;103,105;98,27;96,635;96,5;102,4;99,3;NA
"15-09-2015";NA;102,5;98,7;101;98;97,3;NA;NA;97,63;94,48;95,66;100,425;96,6;101,35;95,26;99,07;94,055;93,315;92,71;100,805;101,57;103,48;107,28;104,27;103,42;111,34;100,27;103,125;97,75;96,21;97,3;102,5;99,4;NA
"16-09-2015";NA;102,4;99,1;101,5;98,8;97,8;NA;NA;97,61;95,15;95,71;100,89;97,12;101,385;95,45;98,745;94,23;93,635;93,525;100,785;101,32;103,475;107,36;104,66;103,56;110,285;100,43;102,815;97,61;96,375;97,8;102,4;99,5;NA
"17-09-2015";NA;102,2;99,5;102,1;99,4;98;NA;NA;97,75;95,565;95,72;101,18;97,78;101,395;95,45;98,21;94,49;93,525;94,115;101,07;101,205;103,55;107,6;104,92;103,62;109,165;100,62;102,49;97,59;96,745;98;102,2;99,6;NA
"18-09-2015";NA;101,9;100;102,6;100;98,3;NA;NA;97,86;95,89;95,57;101,54;98,36;101,475;95,35;97,5;94,4;93,155;94,265;101,54;101,265;103,69;107,87;105,06;103,41;108,465;100,64;102,35;97,88;97,32;98,3;102,6;99,6;NA
"19-09-2015";NA;101,4;100,4;103;100,7;98,5;NA;NA;97,76;95,76;95,42;101,675;98,7;101,385;95,07;96,75;93,94;92,675;94,115;102,04;101,53;103,915;107,93;105,01;102,97;107,465;100,53;102,095;98,4;97,9;98,5;103;99,7;NA
"20-09-2015";NA;101;100,8;103,1;101,4;98,6;NA;NA;97,59;95,485;95,36;102,04;98,88;101,43;94,79;96,29;93,44;92,665;93,86;102,58;102,015;104,16;108,15;104,88;102,47;106,96;100,36;102,12;98,51;98,415;98,6;103,1;99,7;NA
"21-09-2015";NA;100,5;101;102,9;102;98,7;NA;NA;97,33;95,055;95,17;102,28;99,1;101,57;94,54;95,97;92,935;92,52;93,74;103,025;102,61;104,37;108,15;104,79;102,02;106,575;100,18;102,265;98,85;99,045;98,7;102,9;99,7;NA
"22-09-2015";NA;100,2;101;102,2;102,5;98,5;NA;NA;97,26;94,83;95,15;102,45;99,21;101,76;94,45;95,99;92,55;92,625;93,6;103,255;103,09;104,44;108,19;104,72;101,61;106,05;100,03;102,465;99,46;99,77;98,5;102,5;99,8;NA
"23-09-2015";NA;100;101;101,5;102,7;98;NA;NA;97,28;94,82;95,18;102,365;99,09;101,86;94,66;96,165;92,4;92,875;93,495;103,205;103,12;104,32;108,03;104,91;101,12;105,56;99,9;102,79;99,96;100,595;98;102,7;99,8;NA
"24-09-2015";NA;99,8;100,8;100,7;102,7;97,3;NA;NA;97,37;94,795;95,15;102,115;98,75;101,79;94,97;96,21;92,43;92,98;93,355;102,725;102,725;103,67;107,54;105,04;100,25;105,215;99,38;103,125;100,45;101,41;97,3;102,7;99,5;NA
