Spécialité;FRANCE ENTIERE;FRANCE Métropolitaine;Ile-de-France
Cardiologie et maladies vasculaires;6710;6579;1601
Chirurgie orthopédique et traumatologie;2983;2927;594
Chirurgie urologique;1051;1023;181
Chirurgie vasculaire;512;502;77
Dermatologie et vénéréologie;4104;4041;1132
Hématologie;477;471;136
Néphrologie;1491;1442;326
Neurologie;2223;2191;549
Pédiatrie;7615;7387;2205
Réanimation médicale;256;250;89
Santé publique et médecine sociale;1662;1601;464
Chirurgie maxillo-faciale et stomatologie;1214;1196;346
Médecine du travail;5666;5592;1218
Médecine nucléaire;648;642;143
Neuro-chirurgie;485;474;101
Radio-thérapie;815;799;175
Recherche médicale;14;14;8
Rhumatologie;2611;2578;661
Anesthésie-réanimation;10841;10550;2228
Biologie médicale;2825;2766;750
Chirurgie infantile;273;262;61
Chirurgie viscérale et digestive;905;885;162
Ophtalmologie;5849;5733;1496
Anatomie et cytologie pathologiques;1550;1528;391
Chirurgie générale;3628;3546;811
Chirurgie thoracique et cardio-vasculaire;393;384;106
Gériatrie;1404;1388;363
Gynécologie-obstétrique;4253;4090;942
Gastro-entérologie et hépatologie;3556;3498;827
Pneumologie;2848;2810;621
Psychiatrie;14619;14373;4289
Radio-diagnostic et imagerie médicale;8392;8223;1985
Médecine générale;101803;99129;18438
Chirurgie plastique reconstructrice et esthétique;831;817;266
Endocrinologie et métabolisme;1737;1701;450
Génétique médicale;223;219;68
Gynécologie médicale;3600;3542;1146
Médecine interne;2413;2371;722
Médecine physique et réadaptation;1961;1921;316
O.R.L et chirurgie cervico faciale;3056;2991;798
Oncologie option médicale;799;791;249
