Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
18;Métro;STRASBOURG-SAINT-DENIS;9967686;4;8;9;;;Paris;2
5;Métro;GARE DE L'EST;20284835;4;5;7;;;Paris;10
10;Métro;BASTILLE;13590937;1;5;8;;;Paris;12
13;Métro;OPERA;12288027;3;7;8;;;Paris;9
22;Métro;GARE D'AUSTERLITZ;9210572;5;10;;;;Paris;13
37;Métro;CONCORDE;7102855;1;8;12;;;Paris;8
71;Métro;SEVRES-BABYLONE;5387363;10;12;;;;Paris;
27;Métro;PORTE DE CLIGNANCOURT;8663554;4;;;;;Paris;18
44;Métro;PORTE D'ORLEANS;6848088;4;;;;;Paris;14
54;Métro;LA CHAPELLE;6352766;2;;;;;Paris;9
46;Métro;CRIMEE;6800500;7;;;;;Paris;19
45;Métro;PONT DE NEUILLY;6823045;1;;;;;Neuilly Sur Seine;
69;Métro;LES SABLONS;5500065;1;;;;;Neuilly Sur Seine;
72;Métro;CHATEAU DE VINCENNES;5365513;1;;;;;Vincennes;
59;Métro;CHATILLON-MONTROUGE;6109396;13;;;;;Chatillon;
117;Métro;JUSSIEU;4174050;7;10;;;;Paris;5
106;Métro;SAINT-GERMAIN DES PRES;4443897;4;;;;;Paris;6
120;Métro;PORTE DE CLICHY;4094794;13;;;;;Paris;17
105;Métro;JULES JOFFRIN;4464152;12;;;;;Paris;18
114;Métro;BLANCHE;4278243;2;;;;;Paris;9
113;Métro;BALARD;4287048;8;;;;;Paris;15
108;Métro;MAIRIE D'ISSY;4413172;12;;;;;Issy Les Moulineaux;
81;Métro;CROIX DE CHAVAUX;5198911;9;;;;;Montreuil;
104;Métro;MENILMONTANT;4472755;2;;;;;Paris;
107;Métro;RAMBUTEAU;4429945;11;;;;;Paris;
16;RER;LUXEMBOURG;5441398;B;;;;;Paris;5
23;RER;NATION-RER;4120752;A;;;;;Paris;12
49;RER;LA VARENNE-CHENNEVIERES;1871804;A;;;;;saint-Maur des Fossés;
24;RER;SAINT-GERMAIN-EN-LAYE;4000603;A;;;;;Saint-Germain-en-Laye;
22;RER;BOURG-LA-REINE;4202460;B;;;;;Bourg la Reine;
47;RER;BRY-SUR-MARNE;2021786;A;;;;;Bry-sur-Marne;
11;RER;VINCENNES;6474243;A;;;;;Vincennes;
48;RER;GENTILLY;1917456;B;;;;;Gentilly;
57;RER;LE GUICHET;856871;B;;;;;Orsay;
46;RER;BAGNEUX;2034790;B;;;;;Cachan;
169;Métro;CORENTIN CARIOU;3115884;7;;;;;Paris;19
125;Métro;VAUGIRARD;3850737;12;;;;;Paris;15
176;Métro;CHEVALERET;3055302;6;;;;;Paris;13
156;Métro;PYRENEES;3404189;11;;;;;Paris;20
171;Métro;BOUCICAUT;3106974;8;;;;;Paris;15
159;Métro;DUPLEIX;3347548;6;;;;;Paris;15
123;Métro;OURCQ;3930609;5;;;;;Paris;19
132;Métro;BOULOGNE-JEAN JAURES;3797640;10;;;;;Boulogne Billancourt;
137;Métro;EGLISE DE PANTIN;3633009;5;;;;;Pantin;
164;Métro;GARIBALDI;3197736;13;;;;;Saint Ouen;
302;Métro;PRE-SAINT-GERVAIS;350959;7bis;;;;;Paris;19
272;Métro;CARDINAL LEMOINE;1713765;10;;;;;Paris;5
297;Métro;CHARDON-LAGACHE;639607;10;;;;;Paris;16
303;Métro;EGLISE D'AUTEUIL;179058;10;;;;;Paris;16
274;Métro;MONCEAU;1662955;2;;;;;Paris;17
287;Métro;RENNES;1272544;12;;;;;Paris;6
289;Métro;KLEBER;1203757;6;;;;;Paris;16
277;Métro;EUROPE;1585380;3;;;;;Paris;8
9;RER;SAINT-MICHEL-NOTRE-DAME;7773356;B;;;;;Paris;
282;Métro;PIERRE CURIE;1406411;7;;;;;Ivry;
197;Métro;SAINT-PHILIPPE-DU-ROULE;2840177;9;;;;;Paris;8
204;Métro;JAVEL-ANDRE CITROEN;2654991;10;;;;;Paris;15
203;Métro;JACQUES BONSERGENT;2667291;5;;;;;Paris;10
173;Métro;RUE DE LA POMPE;3093242;9;;;;;Paris;16
202;Métro;RUE DES BOULETS;2693345;9;;;;;Paris;11
199;Métro;LA FOURCHE;2816140;13;;;;;Paris;8
186;Métro;SAINT-MAUR;2961357;3;;;;;Paris;11
205;Métro;DUGOMMIER;2640369;6;;;;;Paris;12
179;Métro;COURONNES;3006923;2;;;;;Paris;11
206;Métro;LIBERTE;2635279;8;;;;;Charenton;
267;Métro;SAINT-SEBASTIEN-FROISSART;1804340;8;;;;;Paris;3
225;Métro;PORTE D'ITALIE;2432555;7;;;;;Paris;13
217;Métro;SAINT-SULPICE;2532665;4;;;;;Paris;6
209;Métro;MALESHERBES;2601913;3;;;;;Paris;17
259;Métro;PONT NEUF;1886611;7;;;;;Paris;4
211;Métro;CAMBRONNE;2565239;6;;;;;Paris;15
215;Métro;CORVISART;2538729;6;;;;;Paris;13
271;Métro;SEGUR;1735579;10;;;;;Paris;15
254;Métro;AVRON;1916547;2;;;;;Paris;11
222;Métro;CRETEIL-L'ECHAT;2465183;8;;;;;Créteil;
64;RER;COURCELLE-SUR-YVETTE;566605;B;;;;;Gif sur Yvette;
6;Métro;REPUBLIQUE;18224965;3;5;8;9;11;Paris;11
4;Métro;MONTPARNASSE-BIENVENUE;31553833;4;6;12;13;;Paris;14
25;Métro;CHARLES DE GAULLE-ETOILE;8941588;1;2;6;;;Paris;8
1;Métro;GARE DU NORD;51316194;4;5;;;;Paris;10
7;Métro;LES HALLES;17991605;4;;;;;Paris;1
35;Métro;GRANDS BOULEVARDS;7345811;8;9;;;;Paris;9
65;Métro;REUILLY-DIDEROT;5808594;1;8;;;;Paris;12
32;Métro;PALAIS-ROYAL;7448640;1;7;;;;Paris;1
98;Métro;PASTEUR;4655655;6;12;;;;Paris;9
76;Métro;PORTE DE SAINT-CLOUD;5291193;9;;;;;Paris;16
85;Métro;PONT DE LEVALLOIS-BECON;5033694;3;;;;;Levallois-Perret;
96;Métro;MAIRIE DES LILAS;4681803;11;;;;;Les Lilas;
36;Métro;MAIRIE DE CLICHY;7129195;13;;;;;Clichy;
38;Métro;BIR-HAKEIM;7094930;6;;;;;Paris;
55;Métro;GEORGE V;6273359;1;;;;;Paris;
4;RER;CHATELET-LES HALLES-RER;26580053;A;B;;;;Paris;1
19;RER;NEUILLY-PLAISANCE;5014436;A;;;;;Neuilly-sur-Seine;
38;RER;FONTENAY-SOUS-BOIS;2469377;A;;;;;Fontenay-sous-Bois;
6;RER;VAL DE FONTENAY;12157778;A;;;;;Fontenay-sous-Bois;
30;RER;CHAMPIGNY;3432922;A;;;;;Saint-Maur des Fossés;
3;RER;LA DEFENSE-RER;30059436;A;;;;;Puteaux;
45;RER;CHATOU-CROISSY;2050458;A;;;;;Chatou;
25;RER;VAL D'EUROPE;3703646;A;;;;;Serris;
32;RER;LAPLACE;3224399;B;;;;;Arcueil;
15;RER;ANTONY;6186694;B;;;;;Antony;
189;Métro;PORTE DE LA CHAPELLE;2939078;12;;;;;Paris;18
