"";"À jour";"Informations masquées (vulnérabilités pas exposées)";"Niveau de sécurité incertain";"Pas à jour"
"Apache";8,85354417578376;28,9969660752046;13,772179828997;48,3773099200147
"Apache Tomcat";0;100;0;0
"Google";0;100;0;0
"Icodia";0;83,3333333333333;0;16,6666666666667
"IIS";0,261324041811847;0;95,0348432055749;4,70383275261324
"Inconnue";1,74672489082969;76,8558951965066;3,05676855895197;18,3406113537118
"Lighttp";0;3,66492146596859;0,523560209424084;95,8115183246073
"LiteSpeed";42,1052631578947;18,4210526315789;0;39,4736842105263
"Lotus-Domino";0;100;0;0
"Nginx";1,4945652173913;22,6222826086957;6,1820652173913;69,7010869565217
"o2switch";11,3636363636364;22,7272727272727;40,9090909090909;25
"SiteW";6,38297872340426;25,531914893617;21,2765957446809;46,8085106382979
"Tengine";0;77,7777777777778;0;22,2222222222222
"Wix";0;100;0;0
"WMaker";0;100;0;0
